id,assets,liabilities,buffer,weights
10001,0.633613,0.577565,47.1,49.311178
10002,0.24827,0.22483,69.25,70.7231
10003,0.288415,0.220472,60.56,62.068887
10004,0.204417,0.182754,39.15,40.537171
10005,18.583419,16.405158,21.93,57.918577
10006,0.201782,0.178997,19.43,20.810779
10007,0.000818,0.000682,9.22,10.2215
10008,0.206378,0.184877,13.74,15.131255
10009,0.011034,0.010267,28.69,29.711301
10010,0.086233,0.07721,27.33,28.493443
10011,0.281052,0.246505,45.7,47.227557
10012,0.500527,0.453111,32.79,34.743638
10013,0.006532,0.005351,44.58,45.591883
10014,17.99401,15.600857,61.73,96.324867
10015,0.028179,0.024523,63.03,64.082702
10016,0.044535,0.038799,68.23,69.313334
10017,18.452421,15.808199,61.7,96.96062
10018,0.031839,0.028181,51.39,52.45002
10019,0.043794,0.037888,48.52,49.601682
10020,160.21932,150.990167,34.22,346.429487
10021,1.041566,0.902404,61.67,64.61397
10022,0.32676,0.297229,41.56,43.183989
10023,13.931941,11.936155,35.76,62.628096
10024,0.17418,0.157479,14.27,15.601659
10025,0.070572,0.062415,67.42,68.552987
10026,0.144106,0.131851,26.11,27.385957
10027,0.385869,0.347412,69.14,70.873281
10028,0.002071,0.001817,81.51,82.513888
10029,0.787503,0.71641,29.05,31.553913
10030,0.085395,0.074545,84.84,85.99994
10031,0.052201,0.04631,61.31,62.408511
10032,0.046068,0.041558,49.97,51.057626
10033,8.502962,7.715442,49.35,66.568404
10034,0.003533,0.002818,48.28,49.286351
10035,0.14033,0.126971,49.14,50.407301
10036,0.582953,0.525176,31.26,33.368129
10037,2.742786,2.454037,29.06,35.256823
10038,0.395155,0.358486,69.99,71.743641
10039,0.165717,0.14632,40.05,41.362037
10040,0.147639,0.129381,22.46,23.73702
10041,0.18866,0.077967,128.3,129.566627
10042,0.602693,0.532671,11.14,13.275364
10043,0.160025,0.146291,67.42,68.726316
10044,0.071055,0.065356,45.94,47.076411
10045,22.990466,20.724373,20.11,64.824839
10046,6.180672,5.725347,6,18.906019
10047,20.003253,19.954425,52.43,93.387678
10048,0.075267,0.066217,10.22,11.361484
10049,0.351614,0.325257,45.89,47.566871
10050,0.969554,0.799982,15.83,18.599536
10051,0.348881,0.325266,36.37,38.044147
10052,0.067318,0.060441,66.86,67.987759
10053,0.011396,0.009906,62.11,63.131302
10054,0.016873,0.015276,34.8,35.832149
10055,0.66466,0.543849,37.84,40.048509
10056,1.90639,1.7258,25.2,29.83219
10057,0.010399,0.009621,37.37,38.39002
10058,0.000864,0.0007,20.55,21.551564
10059,55.130999,51.886575,15.42,123.437574
10060,0.412337,0.373068,51.09,52.875405
10061,99.877,93.301,60.93,255.108
10062,0.005491,0.004535,64.68,65.690026
10063,0.11211,0.098513,50.64,51.850623
10064,6.807984,6.807027,0.18,14.795011
10065,0.150135,0.133624,44.81,46.093759
10066,0.041722,0.035499,18.33,19.407221
10067,6.3907,5.234287,84.62,97.244987
10068,0.124355,0.110795,30.64,31.87515
10069,1.959399,1.823427,11.37,16.152826
10070,0.602465,0.548203,34.6,36.750668
10071,0.403317,0.381448,87.25,89.034765
10072,0.102127,0.087842,59.78,60.969969
10073,0.102965,0.09214,40.8,41.995105
10074,0.081053,0.070919,43.59,44.741972
10075,10.58111,9.822135,25.67,47.073245
10076,0.089307,0.078537,27.18,28.347844
10077,0.017722,0.0153,44.76,45.793022
10078,0.201109,0.183479,41.49,42.874588
10079,0.829833,0.772755,50.5,53.102588
10080,6.423701,5.931151,13.63,26.984852
10081,0.093162,0.085582,41.11,42.288744
10082,0.935634,0.843762,44.48,47.259396
10083,2.577201,2.33099,37.75,43.658191
10084,2.39397,2.332242,94.48,100.206212
10085,0.209303,0.186557,45.01,46.40586
10086,2.651004,2.444087,13.91,20.005091
10087,1.76284,1.639485,30.82,35.222325
10088,0.75591,0.677764,18.98,21.413674
10089,0.206601,0.1905,45.72,47.117101
10090,3.783716,3.438057,56.7,64.921773
10091,0.018378,0.016859,65.06,66.095237
10092,2.555649,2.326128,42.65,48.531777
10093,0.018081,0.016304,73.08,74.114385
10094,0.15128,0.137554,27.63,28.918834
10095,2.50512,2.081341,16.28,21.866461
10096,0.742325,0.658246,26.23,28.630571
10097,0.000375,0.000329,90.93,91.930704
10098,0.034477,0.031749,65.93,66.996226
10099,0.645926,0.601377,32.32,34.567303
10100,0.093726,0.084607,27.52,28.698333
10101,0.147231,0.117609,38.12,39.38484
10102,0.153651,0.139541,32.24,33.533192
10103,0.408184,0.373825,53.24,55.022009
10104,12.593664,11.940293,6.05,31.583957
10105,0.082684,0.074787,5.14,6.297471
10106,0.603672,0.534306,3.79,5.927978
10107,0.095961,0.087037,41.54,42.722998
10108,0.030448,0.025956,65.98,67.036404
10109,0.062548,0.054804,60.41,61.527352
10110,0.074853,0.068375,56.41,57.553228
10111,0.018194,0.016028,78.73,79.764222
10112,0.69182,0.632255,30,32.324075
10113,0.042092,0.037292,40.86,41.939384
10114,0.01498,0.0126,64.45,65.47758
10115,0.057255,0.051776,89.09,90.199031
10116,0.003976,0.0035,19.12,20.127476
10117,0.011215,0.009546,69.55,70.570761
10118,0.119376,0.10202,16.23,17.451396
10119,0.727258,0.631012,29.07,31.42827
10120,30.263616,29.417638,22.09,82.771254
10121,0.167585,0.150579,25.08,26.398164
10122,0.129605,0.115403,44.27,45.515008
10123,0.263016,0.181314,25,26.44433
10124,0.163903,0.147937,56.46,57.77184
10125,0.084007,0.075959,57.55,58.709966
10126,0.293581,0.258336,26.04,27.591917
10127,0.232273,0.210491,23.32,24.762764
10128,41.094904,38.943031,18.87,99.907935
10129,0.264046,0.241592,26.94,28.445638
10130,54.564461,52.183955,128.62,236.368416
10131,0.012872,0.01188,67,68.024752
10132,1.343736,1.117068,46.95,50.410804
10133,8.192153,7.47811,33.49,50.160263
10134,0.146958,0.131132,52.38,53.65809
10135,0.187373,0.148532,6.74,8.075905
10136,2.777426,2.560991,35.64,41.978417
10137,0.022826,0.019741,68.18,69.222567
10138,0.227231,0.208677,29.27,30.705908
10139,0.117748,0.102394,26.94,28.160142
10140,0.098298,0.086438,111.73,112.914736
10141,1.331026,1.195105,33.35,36.876131
10142,0.178523,0.174631,23.31,24.663154
10143,0.24383,0.192406,46,47.436236
10144,0.512949,0.463306,38.03,40.006255
10145,0.04218,0.034751,55.76,56.836931
10146,0.954087,0.893353,49.26,52.10744
10147,13.668168,12.967108,37.68,65.315276
10148,0.144725,0.12853,50.66,51.933255
10149,0.019997,0.018484,74.34,75.378481
10150,758.027812,720.884513,48.2,1528.112325
10151,1.085832,0.978832,61.67,64.734664
10152,0.179849,0.163003,12.82,14.162852
10153,0.069941,0.063042,34.76,35.892983
10154,0.10053,0.077088,51.97,53.147618
10155,0.013068,0.011678,79.15,80.174746
10156,0.055284,0.049655,67.14,68.244939
10157,0.136431,0.11746,25.49,26.743891
10158,0.196656,0.173391,14.94,16.310047
10159,0.131765,0.120413,23.41,24.662178
10160,16.973454,15.537531,51.18,84.690985
10161,0.043092,0.038261,18.52,19.601353
10162,0.041217,0.036859,17.82,18.898076
10163,1.495393,1.442736,64.6,68.538129
10164,39.068024,35.427447,58.68,134.175471
10165,0.440053,0.407569,21.67,23.517622
10166,0.419055,0.382536,41.27,43.071591
10167,0.741406,0.673681,57.55,59.965087
10168,1.840859,1.626271,58.59,63.05713
10169,0.720682,0.645635,23.86,26.226317
10170,3.44157,3.129701,47.29,54.861271
10171,0.257219,0.232681,38.24,39.7299
10172,0.320789,0.285631,22.59,24.19642
10173,0.237075,0.206482,59.75,61.193557
10174,0.108388,0.09892,14.4,15.607308
10175,0.048007,0.043497,20.08,21.171504
10176,0.069421,0.061369,11.05,12.18079
10177,0.115869,0.103745,58.32,59.539614
10178,2.49859,2.021611,35.72,41.240201
10179,0.001693,0.001389,26.99,27.993082
10180,8.195333,7.639009,39.05,55.884342
10181,0.035059,0.029142,52.56,53.624201
10182,0.013637,0.012328,37.65,38.675965
10183,0.593855,0.560924,57.53,59.684779
10184,0.024466,0.019181,46.76,47.803647
10185,0.075811,0.067848,88.08,89.223659
10186,1.90198,1.678341,56.1,60.680321
10187,6.664323,5.815999,21.04,34.520322
10188,0.036388,0.031713,58.45,59.518101
10189,0.225883,0.201461,16.73,18.157344
10190,0.431034,0.361439,31.63,33.422473
10191,0.004276,0.002749,30.88,31.887025
10192,0.250419,0.216413,26.38,27.846832
10193,0.037346,0.029947,25.19,26.257293
10194,412.443472,395.027878,97.63,906.10135
10195,0.112764,0.094961,21.1,22.307725
10196,2.00796,1.77794,18.64,23.4259
10197,0.122144,0.111101,39.71,40.943245
10198,2.277851,2.162625,30.56,36.000476
10199,18.092708,17.131231,7.87,44.093939
10200,24.901439,22.349486,20.73,68.980925
10201,0.002669,0.002376,62.26,63.265045
10202,7.638108,6.858575,41.23,56.726683
10203,0.161305,0.140729,21.64,22.942034
10204,0.132746,0.117541,46.27,47.520287
10205,0.011572,0.00907,92.19,93.210642
10206,0.706317,0.638931,41.41,43.755248
10207,0.083066,0.070061,44.95,46.103127
10208,0.064303,0.056093,44.97,46.090396
10209,0.04223,0.036708,38.66,39.738938
10210,1.016109,0.905724,39.47,42.391833
10211,0.016881,0.015735,31.46,32.492616
10212,0.011999,0.010859,10.49,11.512858
10213,5.214586,4.45542,11.61,22.280006
10214,0.094485,0.083626,31.56,32.738111
10215,0.476023,0.432457,42.71,44.61848
10216,0.032819,0.029551,64.5,65.56237
10217,0.214695,0.197347,74.27,75.682042
10218,0.007797,0.007114,57.11,58.124911
10219,0.258385,0.235712,60.82,62.314097
10220,0.142859,0.135459,34.28,35.558318
10221,0.39519,0.350277,2.56,4.305467
10222,0.137694,0.122312,31.32,32.580006
10223,0.455295,0.39911,18.34,20.194405
10224,0.597895,0.530129,24.59,26.718024
10225,0.072702,0.066374,67.7,68.839076
10226,0.021297,0.019589,50.24,51.280886
10227,0.011453,0.008418,89.62,90.639871
10228,1.448838,1.330804,13.53,17.309642
10229,0.632874,0.578704,15.51,17.721578
10230,0.456293,0.405747,26.96,28.82204
10231,0.189135,0.162906,33.17,34.522041
10232,48.128545,46.900754,55.76,151.789299
10233,0.158611,0.146503,63.8,65.105114
10234,0.113779,0.099596,19.05,20.263375
10235,0.084994,0.077272,37.66,38.822266
10236,0.028002,0.024354,50.84,51.892356
10237,1.896341,1.758422,35.48,40.134763
10238,0.060235,0.05595,35.03,36.146185
10239,0.16562,0.10727,49.1,50.37289
10240,2.191863,2.101363,44.05,49.343226
10241,0.014409,0.013191,43.19,44.2176
10242,2.302101,2.045146,23.31,28.657247
10243,15.937463,14.035147,30.91,61.88261
10244,0.214529,0.197367,37.18,38.591896
10245,11.807906,11.41037,101.12,125.338276
10246,0.127845,0.117378,18.61,19.855223
10247,0.011497,0.01022,47.08,48.101717
10248,0.44353,0.391731,24.67,26.505261
10249,0.098031,0.090864,56.69,57.878895
10250,0.197512,0.171547,41.38,42.749059
10251,0.038889,0.033906,48.14,49.212795
10252,0.082284,0.071926,77.06,78.21421
10253,15.259678,8.443442,1437.83,1462.53312
10254,1.041733,0.954286,26.41,29.406019
10255,0.026638,0.023879,22.28,23.330517
10256,0.021709,0.019904,29.58,30.621613
10257,0.983395,0.863566,33.02,35.866961
10258,0.527548,0.467327,32.42,34.414875
10259,0.393618,0.356426,25.02,26.770044
10260,0.034491,0.029456,44.97,46.033947
10261,0.16327,0.144559,15.64,16.947829
10262,1.258563,0.799001,56.82,59.877564
10263,0.00776,0.006218,4.96,5.973978
10264,0.097334,0.085657,34.46,35.642991
10265,0.064338,0.056639,22.89,24.010977
10266,0.229909,0.206304,140.21,141.646213
10267,4024.149,3969.135,0.19,7994.474
10268,1.261822,1.153645,10.21,13.625467
10269,5.094726,4.859951,38.36,49.314677
10270,0.150364,0.139458,29.8,31.089822
10271,0.133294,0.12023,53.15,54.403524
10272,1.253021,1.138193,81.62,85.011214
10273,0.072947,0.053859,13.26,14.386806
10274,0.645803,0.585485,23.27,25.501288
10275,0.590103,0.570483,32.09,34.250586
10276,0.038197,0.033066,86.2,87.271263
10277,0.114011,0.103016,54.46,55.677027
10278,49.514798,45.153419,25.11,120.778217
10279,0.04575,0.037879,73.84,74.923629
10280,0.238213,0.191373,44.95,46.379586
10281,0.00013,0.000121,60.64,61.640251
10282,0.037911,0.032427,89.77,90.840338
10283,0.000132,0.000118,86.04,87.04025
10284,93.16636,85.465095,26.8,206.431455
10285,0.18188,0.165382,39.19,40.537262
10286,1.244983,1.118401,12.38,15.743384
10287,0.257659,0.231677,42.89,44.379336
10288,0.069893,0.061991,71.17,72.301884
10289,2.843238,2.58211,74.16,80.585348
10290,0.064726,0.05945,24.43,25.554176
10291,0.267904,0.243989,27.49,29.001893
10292,0.015086,0.013456,84.14,85.168542
10293,0.064815,0.049699,59.39,60.504514
10294,0.262133,0.236,42,43.498133
10295,0.674489,0.603443,19.41,21.687932
10296,0.421165,0.400059,47.83,49.651224
10297,8.151987,7.299035,63.59,80.041022
10298,0.090472,0.083078,53.94,55.11355
10299,0.0109,0.010129,67.87,68.891029
10300,0.170655,0.146827,44.1,45.417482
10301,0.119951,0.110659,61.67,62.90061
10302,0.441199,0.352799,36.78,38.573998
10303,0.326565,0.2791,76.74,78.345665
10304,0.089015,0.082175,48.3,49.47119
10305,0.076672,0.06435,83.09,84.231022
10306,9.801872,9.022627,27.94,47.764499
10307,0.0146,0.013667,39.96,40.988267
10308,0.078776,0.071129,40.08,41.229905
10309,0.030315,0.028212,56.17,57.228527
10310,0.000135,0.00009,122.31,123.310225
10311,0.047149,0.042595,58.59,59.679744
10312,0.02133,0.019724,14.03,15.071054
10313,2.433983,2.189545,37.85,43.473528
10314,1.156416,1.017172,25.75,28.923588
10315,2.446339,2.288935,62,67.735274
10316,9.70324,9.354527,9.54,29.597767
10317,0.191853,0.166785,87.66,89.018638
10318,0.960495,0.85051,22.09,24.901005
10319,0.257946,0.222289,43.88,45.360235
10320,0.159609,0.132188,37.57,38.861797
10321,0.015197,0.013433,16.48,17.50863
10322,0.195004,0.178957,23.29,24.663961
10323,1.242673,1.112884,6.2,9.555557
10324,2.454234,2.143336,24.67,30.26757
10325,1.138774,1.031056,36.35,39.51983
10326,0.035662,0.032181,38.44,39.507843
10327,0.836474,0.755067,37.61,40.201541
10328,0.759552,0.693563,38.21,40.663115
10329,4.035364,3.547987,39.02,47.603351
10330,0.026699,0.001174,2664.72,2665.747873
10331,0.930527,0.883652,22.07,24.884179
10332,0.109561,0.084171,65.48,66.673732
10333,0.199598,0.176029,63.94,65.315627
10334,1.189922,1.060761,29.25,32.500683
10335,3.46535,3.300905,15.41,23.176255
10336,0.112431,0.10239,47.93,49.144821
10337,0.075355,0.068375,60.2,61.34373
10338,1.007255,0.931525,12.08,15.01878
10339,0.116694,0.104247,46.39,47.610941
10340,0.090348,0.082266,36.18,37.352614
10341,0.276209,0.248963,56.08,57.605172
10342,0.186582,0.168751,27.8,29.155333
10343,0.097958,0.089959,45.56,46.747917
10344,0.717709,0.654989,6.65,9.022698
10345,0.007628,0.00655,59.18,60.194178
10346,0.654483,0.575692,31.4,33.630175
10347,0.031283,0.024485,8.01,9.065768
10348,0.113756,0.10197,89.94,91.155726
10349,0.020727,0.018341,78.24,79.279068
10350,71.128946,66.728032,45.56,184.416978
10351,0.257834,0.233896,42.41,43.90173
10352,0.099287,0.087647,62.04,63.226934
10353,254.05003,234.969228,56.99,547.009258
10354,0.01909,0.017349,10.2,11.236439
10355,0.294182,0.270736,30.26,31.824918
10356,0.027243,0.006953,1217.56,1218.594196
10357,0.04832,0.04375,53,54.09207
10358,5.544747,4.763402,18.97,30.278149
10359,0.545769,0.475822,45.19,47.211591
10360,33.950304,32.149084,24.51,91.609388
10361,0.003488,0.003147,25.37,26.376635
10362,0.037107,0.033666,34.32,35.390773
10363,0.07713,0.043379,85.72,86.840509
10364,0.051213,0.046624,29.47,30.567837
10365,0.09071,0.07785,55.79,56.95856
10366,0.005875,0.005243,69.44,70.451118
10367,0.076655,0.069756,59.89,61.036411
10368,1.492889,1.346573,12.85,16.689462
10369,0.055376,0.050878,49.17,50.276254
10370,0.12525,0.116512,45.23,46.471762
10371,0.226545,0.207575,33.83,35.26412
10372,0.001141,0.000978,101.19,102.192119
10373,0.158268,0.145287,7.6,8.903555
10374,0.099381,0.093587,39.08,40.272968
10375,0.259861,0.230227,26.68,28.170088
10376,15.927254,14.928314,23.29,55.145568
10377,11.236517,10.856362,22.55,45.642879
10378,0.539212,0.485073,41.51,43.534285
10379,3.291897,3.015615,47.59,54.897512
10380,0.206038,0.184065,45.26,46.650103
10381,0.041505,0.035888,58.11,59.187393
10382,1.505971,1.350628,29.53,33.386599
10383,0.001101,0.000998,87.86,88.862099
10384,0.044246,0.040462,57.15,58.234708
10385,0.227404,0.199735,50.29,51.717139
10386,0.037407,0.03332,46.29,47.360727
10387,0.305013,0.259288,11.49,13.054301
10388,0.007235,0.006374,43.2,44.213609
10389,0.409107,0.365642,33.5,35.274749
10390,0.029636,0.025327,31.34,32.394963
10391,0.032677,0.030851,60.12,61.183528
10392,0.497017,0.463687,20.18,22.140704
10393,0.979624,0.751166,73.12,75.85079
10394,0.075683,0.069121,58.96,60.104804
10395,0.71831,0.655762,31.12,33.494072
10396,0.509112,0.46519,13.96,15.934302
10397,6.231754,5.733961,8.8,21.765715
10398,2.100152,1.879675,56.27,61.249827
10399,0.067842,0.061323,52.07,53.199165
10400,0.029571,0.023145,60.51,61.562716
10401,1.912492,1.653832,72.66,77.226324
10402,0.009167,0.008314,18.25,19.267481
10403,0.810463,0.750268,46.38,48.940731
10404,0.102277,0.090887,41.96,43.153164
10405,0.087226,0.077953,46.97,48.135179
10406,0.098237,0.085474,105.27,106.453711
10407,1.848517,1.63813,24.95,29.436647
10408,0.200538,0.176863,33.19,34.567401
10409,22.277103,21.158124,17.06,61.495227
10410,0.026149,0.023659,26.57,27.619808
10411,0.163447,0.142735,12.27,13.576182
10412,0.475613,0.43221,58.14,60.047823
10413,1.331055,1.267234,49.94,53.538289
10414,0.013348,0.012261,29.46,30.485609
10415,0.086816,0.079431,54.57,55.736247
10416,0.262449,0.236457,23.45,24.948906
10417,0.171329,0.145664,85.22,86.536993
10418,0.022275,0.020414,61.18,62.222689
10419,0.182713,0.166464,31.55,32.899177
10420,1.541828,1.489917,33.66,37.691745
10421,0.054569,0.049581,59.12,60.22415
10422,15.725369,14.831641,7.8,39.35701
10423,0.00313,0.00278,76.03,77.03591
10424,0.140691,0.120618,42.74,44.001309
10425,0.03897,0.034134,84.52,85.593104
10426,0.068981,0.064016,30.96,32.092997
10427,0.50494,0.456954,19.56,21.521894
10428,2.336762,2.19721,44.88,50.413972
10429,0.009054,0.007876,47.94,48.95693
10430,0.019826,0.017304,34.72,35.75713
10431,0.057382,0.049246,88.92,90.026628
10432,0.054949,0.050528,80.16,81.265477
10433,1.607808,1.474185,48.65,52.731993
10434,2.758406,2.654691,58.25,64.663097
10435,1.142566,1.020982,32.37,35.533548
10436,0.15254,0.13965,56.39,57.68219
10437,0.201382,0.182561,45.41,46.793943
10438,0.008019,0.006096,122.15,123.164115
10439,0.001747,0.001546,37.38,38.383293
10440,0.130872,0.118707,58.14,59.389579
10441,0.061669,0.054483,58.25,59.366152
10442,0.047567,0.042337,45.07,46.159904
10443,0.351762,0.319848,109,110.67161
10444,0.001757,0.001363,19.82,20.82312
10445,0.086305,0.078419,32.76,33.924724
10446,0.178739,0.16365,11.71,13.052389
10447,0.002483,0.002247,24.94,25.94473
10448,0.104891,0.093467,37.56,38.758358
10449,0.446481,0.286655,70.63,72.363136
10450,0.076646,0.067552,35.79,36.934198
10451,0.233379,0.20941,34.54,35.982789
10452,6.16553,5.812942,33.82,46.798472
10453,1.258415,1.036716,22.23,25.525131
10454,0.49965,0.397021,19.37,21.266671
10455,0.133669,0.118912,17.28,18.532581
10456,0.229835,0.20884,35.68,37.118675
10457,0.706288,0.643682,25.97,28.31997
10458,0.120505,0.111215,66.66,67.89172
10459,0.183237,0.161594,63.09,64.434831
10460,0.098713,0.089263,34.22,35.407976
10461,0.001779,0.001313,101.7,102.703092
10462,0.042116,0.034772,61.07,62.146888
10463,0.426504,0.377387,16.7,18.503891
10464,6.168585,5.576316,39.24,51.984901
10465,20.816201,19.887303,9.99,51.693504
10466,0.0064,0.005597,53.92,54.931997
10467,0.184014,0.168149,42.8,44.152163
10468,0.122184,0.10832,49.88,51.110504
10469,0.847415,0.779922,51.64,54.267337
10470,1.671326,1.620907,81.87,86.162233
10471,1.144956,1.020734,55.28,58.44569
10472,0.011187,0.009868,39.66,40.681055
10473,0.182109,0.071088,40.6,41.853197
10474,0.016995,0.015907,81.42,82.452902
10475,0.246957,0.226587,37.88,39.353544
10476,0.254107,0.226953,31.28,32.76106
10477,1.485501,1.319862,17.54,21.345363
10478,0.241559,0.219,38.52,39.980559
10479,10.399057,10.037774,25.42,46.856831
10480,0.04517,0.039416,11.96,13.044586
10481,0.165647,0.147387,37.73,39.043034
10482,0.005385,0.004055,78.18,79.18944
10483,0.112156,0.093916,71.18,72.386072
10484,0.217997,0.18723,10.61,12.015227
10485,0.125735,0.010854,1500.15,1501.286589
10486,0.003648,0.003197,42.9,43.906845
10487,343.565671,316.193015,111.97,772.728686
10488,40.086352,36.82655,77.77,155.682902
10489,1.14144,1.107934,60.32,63.569374
10490,13.641087,12.665553,9.73,37.03664
10491,0.027857,0.022334,92.89,93.940191
10492,3.717777,3.4251,3.8,11.942877
10493,0.156141,0.141413,40.34,41.637554
10494,0.920846,0.835948,33.13,35.886794
10495,0.072056,0.062251,26.46,27.594307
10496,0.033702,0.030041,78.5,79.563743
10497,0.141649,0.128793,47.32,48.590442
10498,0.822508,0.743967,48.65,51.216475
10499,84.346633,73.360958,11.99,170.697591
10500,0.137502,0.117358,38.14,39.39486
10501,0.104107,0.098845,41.95,43.152952
10502,15.88528,14.663783,51.77,83.319063
10503,0.403236,0.343843,88.79,90.537079
10504,0.031452,0.026139,84.03,85.087591
10505,0.046187,0.038003,83.1,84.18419
10506,0.11901,0.107226,26.59,27.816236
10507,0.011752,0.010358,76.75,77.77211
10508,0.02193,0.020045,47.77,48.811975
10509,0.151967,0.138548,8.98,10.270515
10510,0.12611,0.114501,33.03,34.270611
10511,0.246882,0.218485,35.47,36.935367
10512,0.043501,0.039622,31.94,33.023123
10513,43.189166,41.274779,36.09,121.553945
10514,0.121856,0.109382,22.03,23.261238
10515,8.694598,8.070489,9.97,27.735087
10516,0.520225,0.453108,49.31,51.283333
10517,0.03076,0.027958,45.29,46.348718
10518,0.35992,0.330234,11.69,13.380154
10519,5.19113,4.644002,27.65,38.485132
10520,0.382188,0.351838,53.85,55.584026
10521,0.006922,0.006,25.51,26.522922
10522,0.023908,0.019221,83.77,84.813129
10523,2.385232,2.168174,36.38,41.933406
10524,0.03126,0.028783,57.05,58.110043
10525,26.958397,25.492291,9.04,62.490688
10526,0.091351,0.084275,26.94,28.115626
10527,0.007516,0.006245,50.99,52.003761
10528,0.011793,0.01005,72.7,73.721843
10529,0.083773,0.078629,40.53,41.692402
10530,4.499531,3.694791,40.17,49.364322
10531,0.001081,0.001001,64.39,65.392082
10532,0.009053,0.008311,48.41,49.427364
10533,0.250519,0.085987,319.52,320.856506
