"id","assets","liabilities","buffer","weights"
"10001",0.626527,0.564676,41.08,43.271203
"10002",0.263577,0.23767,64.11,65.611247
"10003",0.32777,0.254294,46.88,48.462064
"10004",0.212034,0.187871,37.09,38.489905
"10005",23.365743,20.573284,22.44,67.379027
"10006",0.21772,0.190602,22.36,23.768322
"10007",0.000698,0.000575,59.58,60.581273
"10008",0.21773,0.193326,4.94,6.351056
"10009",0.0097349999999999,0.00912,25.01,26.028855
"10010",0.098882,0.088354,21.49,22.677236
"10011",0.297156,0.2594,34.98,36.536556
"10012",0.471345,0.426843,29.37,31.268188
"10013",0.006736,0.005581,42.91,43.922317
"10014",19.067268,16.518071,61.19,97.775339
"10015",0.026794,0.022803,61.27,62.319597
"10016",0.044381,0.038612,57.39,58.472993
"10017",20.593934,17.67275,65.17,104.436684
"10018",0.030132,0.0266,51.83,52.886732
"10019",0.049544,0.043153,52,53.092697
"10020",223.236605,208.935689,36.67,469.842294
"10021",1.026133,0.868974,58.45,61.345107
"10022",0.357979,0.325271,24.83,26.51325
"10023",13.302669,11.402418,38.53,64.235087
"10024",0.192023,0.173241,10.35,11.715264
"10025",0.071814,0.0618419999999999,58.84,59.973656
"10026",0.152258,0.137457,27.96,29.249715
"10027",0.418867,0.37317,51.78,53.572037
"10028",0.0018239999999999,0.0015689999999999,48.12,49.123393
"10029",0.833656,0.749792,30.32,32.903448
"10030",0.08843,0.077637,74.43,75.596067
"10031",0.057348,0.050467,40.73,41.837815
"10032",0.047622,0.042922,52.71,53.800544
"10033",16.334027,15.429583,42.91,75.67361
"10034",0.003652,0.002972,39.64,40.646624
"10035",0.164601,0.148117,50.67,51.982718
"10036",0.602066,0.539849,31.17,33.311915
"10037",4.219008,3.714352,19.43,28.36336
"10038",0.434151,0.390514,41.45,43.274665
"10039",0.182785,0.16125,37.27,38.614035
"10040",0.173735,0.154095,23.32,24.64783
"10041",0.17428,0.059604,256.83,258.063884
"10042",0.792379,0.702173,9.25,11.744552
"10043",0.178988,0.160912,66.34,67.6799
"10044",0.071582,0.066421,33.88,35.018003
"10045",17.440998,15.782607,12.67,46.893605
"10046",6.341659,5.899737,13.44,26.681396
"10047",18.304285,18.260385,54.89,92.45467
"10048",0.091614,0.081593,9.64,10.813207
"10049",0.340883,0.311694,35.32,36.972577
"10050",1.714471,1.39997,12.47,16.584441
"10051",0.577814,0.485365,41.07,43.133179
"10052",0.069087,0.06084,73.2,74.329927
"10053",0.012168,0.010605,54.65,55.672773
"10054",0.017287,0.015479,27.95,28.982766
"10055",0.710764,0.57875,38.57,40.859514
"10056",2.205113,1.987397,17.61,22.80251
"10057",0.0104,0.00958,31.38,32.39998
"10058",0.000805,0.00063,41.63,42.631435
"10059",54.663906,51.249354,19.2,126.11326
"10060",0.422467,0.376782,47.75,49.549249
