id,assets,liabilities,buffer,weights
10001,0.614461,0.554607,64.8,66.969068
10002,0.230086,0.207288,65.34,66.777374
10003,0.243475,0.17907,69.74,71.162545
10004,0.137181,0.122675,35.57,36.829856
10005,16.934466,14.761579,21.43,54.126045
10006,0.172613,0.155166,37.5,38.827779
10007,0.000818,0.000673,6.92,7.921491
10008,0.206924,0.186355,16,17.393279
10009,0.008119,0.007476,40.67,41.685595
10010,0.079343,0.072003,24.47,25.621346
10011,0.221487,0.189879,42.1,43.511366
10012,0.40289,0.366278,26.76,28.529168
10013,0.005678,0.004513,34.58,35.590191
10014,16.748606,14.680503,67.43,99.859109
10015,0.025812,0.022339,53.76,54.808151
10016,0.042732,0.037225,81.38,82.459957
10017,16.351534,14.023151,60.56,91.934685
10018,0.031842,0.028241,55.8,56.860083
10019,0.036638,0.031043,40.4,41.467681
10020,104.080369,98.481738,39.29,242.852107
10021,0.952789,0.82616,60.45,63.228949
10022,0.307757,0.279637,48.21,49.797394
10023,13.33431,11.426623,47.21,72.970933
10024,0.172896,0.15712,25.27,26.600016
10025,0.063324,0.05484,72.39,73.508164
10026,0.133332,0.119791,35.31,36.563123
10027,0.365376,0.327645,83.2,84.893021
10028,0.002268,0.002029,84.41,85.414297
10029,0.719192,0.643802,34.21,36.572994
10030,0.081383,0.070537,78.94,80.09192
10031,0.042234,0.036932,53.7,54.779166
10032,0.048114,0.043788,44.3,45.391902
10033,2.634533,1.822769,69.38,74.837302
10034,0.003744,0.00299,54.74,55.746734
10035,0.135473,0.122579,45.54,46.798052
10036,0.558221,0.503386,38.24,40.301607
10037,2.554359,2.298347,38.28,44.132706
10038,0.347206,0.309497,77.16,78.816703
10039,0.15419,0.135413,59.76,61.049603
10040,0.131137,0.11442,22.78,24.025557
10041,0.331613,0.252708,104.58,106.164321
10042,0.406712,0.348139,11.06,12.814851
10043,0.14164,0.126178,54.89,56.157818
10044,0.068428,0.062771,41.34,42.471199
10045,20.61368,18.147768,36.64,76.401448
10046,5.419648,5.012061,6.24,17.671709
10047,11.887421,11.847561,46.17,70.904982
10048,0.08059,0.072602,12.11,13.263192
10049,0.300879,0.27374,42.64,44.214619
10050,0.780402,0.64457,21.71,24.134972
10051,0.135707,0.106254,52.46,53.701961
10052,0.06616,0.058565,49.64,50.764725
10053,0.010481,0.009102,53.37,54.389583
10054,0.015722,0.014223,35.34,36.369945
10055,0.681477,0.567951,35.46,37.709428
10056,1.431344,1.297145,21.51,25.238489
10057,0.010177,0.009439,35.34,36.359616
10058,0.000796,0.000622,36.44,37.441418
10059,64.524102,61.057979,12.22,138.802081
10060,0.404822,0.368111,55.61,57.382933
10061,66.063531,61.054559,71.6,199.71809
10062,0.004464,0.003595,71.85,72.858059
10063,0.118659,0.105336,54.28,55.503995
10064,8.709918,8.709367,3.24,21.659285
10065,0.139954,0.124282,45.7,46.964236
10066,0.037112,0.031312,17.77,18.838424
10067,5.95042,4.639162,89.78,101.369582
10068,0.128707,0.115832,32.54,33.784539
10069,1.580289,1.452302,14.54,18.572591
10070,0.565245,0.514335,34.6,36.67958
10071,0.19577,0.174522,83.35,84.720292
10072,0.103336,0.089039,62.66,63.852375
10073,0.090385,0.080072,34.89,36.060457
10074,0.086975,0.077463,40.26,41.424438
10075,8.948249,8.216412,33.48,51.644661
10076,0.070023,0.060834,32.12,33.250857
10077,0.015259,0.013334,50.1,51.128593
10078,0.231297,0.211744,34.87,36.313041
10079,0.745708,0.68994,51.09,53.525648
10080,6.463723,6.031953,13.75,27.245676
10081,0.076503,0.069213,50.74,51.885716
10082,0.914279,0.825146,46.97,49.709425
10083,2.266816,2.026863,32.15,37.443679
10084,1.47774,1.39922,93.17,97.04696
10085,0.211148,0.186425,55.4,56.797573
10086,1.930295,1.761869,15.26,19.952164
10087,1.606991,1.50408,33.41,37.521071
10088,0.546047,0.484837,23.64,25.670884
10089,0.181613,0.165903,46.48,47.827516
10090,2.695042,2.378449,78.11,84.183491
10091,0.016541,0.015027,68.48,69.511568
10092,1.716852,1.570499,63.84,68.127351
10093,0.016243,0.014645,68.49,69.520888
10094,0.128926,0.117277,23.29,24.536203
10095,2.411238,2.042157,12.09,17.543395
10096,0.791727,0.721571,14.87,17.383298
10097,0.000453,0.000406,107.43,108.430859
10098,0.032767,0.029411,71.17,72.232178
10099,0.564961,0.544678,21.28,23.389639
10100,0.081852,0.073412,32.8,33.955264
10101,0.12648,0.10472,51.11,52.3412
10102,0.131058,0.117638,30.95,32.198696
10103,0.173315,0.14725,40.75,42.070565
10104,12.191434,11.641529,3.9,28.732963
10105,0.07381,0.066769,11.77,12.910579
10106,0.550175,0.48155,11.65,13.681725
10107,0.086371,0.078895,38.27,39.435266
10108,0.029925,0.025742,71.24,72.295667
10109,0.054027,0.046455,71.77,72.870482
10110,0.06928,0.062678,48.11,49.241958
10111,0.016951,0.01466,77.12,78.151611
10112,0.639243,0.579066,30.56,32.778309
10113,0.044044,0.03909,31.15,32.233134
10114,0.013888,0.011675,59.63,60.655563
10115,0.059095,0.052232,93.39,94.501327
10116,0.003855,0.00333,26.83,27.837185
10117,0.006516,0.005309,78.28,79.291825
10118,0.121532,0.105637,10.85,12.077169
10119,0.587085,0.515402,42.1,44.202487
10120,52.004859,51.238647,69.05,173.293506
10121,0.157176,0.142316,30.41,31.709492
10122,0.083107,0.067579,55.63,56.780686
10123,0.337728,0.257784,83.76,85.355512
10124,0.147799,0.135222,36.51,37.793021
10125,0.076291,0.068148,66.9,68.044439
10126,0.261973,0.2323,31.25,32.744273
10127,0.215738,0.197698,53.45,54.863436
10128,24.858351,23.825556,52.47,102.153907
10129,0.244629,0.223422,26.02,27.488051
10130,35.194155,32.993618,151.22,220.407773
10131,0.012573,0.011531,57.69,58.714104
10132,1.55481,1.437349,33.89,37.882159
10133,7.420284,6.787619,32.07,47.277903
10134,0.131602,0.117925,28.77,30.019527
10135,0.183889,0.144509,6.03,7.358398
10136,2.262009,2.097419,35.2,40.559428
10137,0.020792,0.018068,65.07,66.10886
10138,0.205807,0.190169,31.59,32.985976
10139,0.108852,0.095382,27.21,28.414234
10140,0.103322,0.092047,117.28,118.475369
10141,1.053674,0.968667,29.18,32.202341
10142,0.211795,0.204213,37.88,39.296008
10143,0.102475,0.06566,61.05,62.218135
10144,0.464066,0.415145,34.06,35.939211
10145,0.046032,0.038731,53.16,54.244763
10146,1.20567,1.134684,44.02,47.360354
10147,15.452587,14.687864,30.49,61.630451
10148,0.145739,0.128592,23.65,24.924331
10149,0.019548,0.018073,66.4,67.437621
10150,856.255075,821.348244,47.76,1726.363319
10151,0.605801,0.508199,65.33,67.444
10152,0.109542,0.098857,10.44,11.648399
10153,0.064214,0.05764,33.91,35.031854
10154,0.094448,0.070881,35.67,36.835329
10155,0.012613,0.011157,72.98,74.00377
10156,0.066758,0.060499,66.42,67.547257
10157,0.12141,0.105416,27.42,28.646826
10158,0.17317,0.152193,9.62,10.945363
10159,0.112703,0.10348,18.88,20.096183
10160,12.762695,11.26411,47.5,72.526805
10161,0.045606,0.041441,44.69,45.777047
10162,0.030002,0.027549,8.01,9.067551
10163,1.384952,1.332373,54.36,58.077325
10164,34.74257,31.919441,59.83,127.492011
10165,0.248377,0.222804,55.3,56.771181
10166,1.001405,0.915012,37.27,40.186417
10167,0.614738,0.559015,30.54,32.713753
10168,1.6517,1.442684,83.82,87.914384
10169,0.570166,0.515443,15.63,17.715609
10170,3.29925,2.995281,62.66,69.954531
10171,0.240949,0.21685,42.75,44.207799
10172,0.309755,0.27725,25.17,26.757005
10173,0.234355,0.204986,85.92,87.359341
10174,0.090393,0.081716,19.6,20.772109
10175,0.039209,0.035827,31.24,32.315036
10176,0.056375,0.049613,9.08,10.185988
10177,0.119368,0.107617,55.45,56.676985
10178,1.370411,1.092044,48.02,51.482455
10179,0.002327,0.001979,21.08,22.084306
10180,6.552997,6.091337,40.33,53.974334
10181,0.035919,0.030003,67.47,68.535922
10182,0.013057,0.011819,32.02,33.044876
10183,0.688862,0.65171,57.79,60.130572
10184,0.022896,0.018313,36.94,37.981209
10185,0.079336,0.07129,88.34,89.490626
10186,1.516223,1.317574,40.43,44.263797
10187,6.587459,5.842301,12.35,25.77976
10188,0.029926,0.027416,63.03,64.087342
10189,0.169555,0.152634,14.75,16.072189
10190,0.436783,0.372225,32.87,34.679008
10191,0.003932,0.00242,36.81,37.816352
10192,0.212507,0.180382,33.76,35.152889
10193,0.042009,0.035104,25.53,26.607113
10194,444.683281,420.516794,73.19,939.390075
10195,0.116815,0.099178,28.52,29.735993
10196,1.884776,1.692111,13.75,18.326887
10197,0.094729,0.084518,37.35,38.529247
10198,2.729458,2.609592,29,35.33905
10199,20.568192,19.54476,7.33,48.442952
10200,21.279526,19.224188,19.56,61.063714
10201,0.002383,0.002104,54.75,55.754487
10202,5.870811,5.428079,48.91,61.20889
10203,0.143069,0.123558,31.57,32.836627
10204,0.145979,0.129156,55.48,56.755135
10205,0.01142,0.009083,42.53,43.550503
10206,0.683935,0.624855,24.05,26.35879
10207,0.07607,0.065389,45.66,46.801459
10208,0.071084,0.062065,50.92,52.053149
10209,0.036928,0.033026,40.41,41.479954
10210,1.23565,1.130098,33.23,36.595748
10211,0.015169,0.014025,27.87,28.899194
10212,0.010798,0.009664,13.67,14.690462
10213,4.659345,3.989133,22.39,32.038478
10214,0.085811,0.076855,36.32,37.482666
10215,0.450919,0.412963,44.52,46.383882
10216,0.031511,0.028204,55.2,56.259715
10217,0.087386,0.077053,86.27,87.434439
10218,0.008393,0.007706,61.08,62.096099
10219,0.234578,0.212053,62.49,63.936631
10220,0.090111,0.0858,44.32,45.495911
10221,0.36021,0.322772,8.03,9.712982
10222,0.118574,0.105521,35.18,36.404095
10223,0.439763,0.388046,18.1,19.927809
10224,0.59479,0.528384,19.38,21.503174
10225,0.071912,0.064879,69.95,71.086791
10226,0.019982,0.018354,57.96,58.998336
10227,0.011638,0.008644,93.36,94.380282
10228,1.36738,1.260556,12.24,15.867936
10229,0.518618,0.475744,29.18,31.174362
10230,0.399019,0.350041,29.14,30.88906
10231,0.156784,0.13322,36.2,37.490004
10232,48.324956,47.298112,76.16,172.783068
10233,0.167295,0.152426,38.08,39.399721
10234,0.108931,0.094951,37.21,38.413882
10235,0.071705,0.064398,35.55,36.686103
10236,0.025551,0.021975,56.11,57.157526
10237,1.333384,1.223237,42.77,46.326621
10238,0.068835,0.064531,26.33,27.463366
10239,0.159873,0.105028,76.39,77.654901
10240,2.530575,2.439972,38.72,44.690547
10241,0.012208,0.010746,34,35.022954
10242,1.748328,1.505579,13.54,17.793907
10243,14.402785,12.959753,28.41,56.772538
10244,0.217729,0.200932,46.6,48.018661
10245,9.858143,9.562707,80.3,100.72085
10246,0.109057,0.100053,26.3,27.50911
10247,0.009989,0.008824,48.92,49.938813
10248,0.337998,0.293255,31.73,33.361253
10249,0.090875,0.082876,52.85,54.023751
10250,0.211114,0.186976,45.15,46.54809
10251,0.033835,0.029084,41.91,42.972919
10252,0.076998,0.064403,80.31,81.451401
10253,14.373334,7.677849,2187.04,2210.091183
10254,0.986432,0.901956,29.4,32.288388
10255,0.025673,0.022866,5.62,6.668539
10256,0.020355,0.018762,26.39,27.429117
10257,0.913593,0.823874,41.02,43.757467
10258,0.47487,0.384662,45.96,47.819532
10259,0.374561,0.337673,15.14,16.852234
10260,0.034135,0.029179,45.46,46.523314
10261,0.153256,0.1378,14.91,16.201056
10262,1.770504,1.16735,111.07,115.007854
10263,0.006886,0.005457,78.52,79.532343
10264,0.088843,0.078573,28.44,29.607416
10265,0.058574,0.051144,41.33,42.439718
10266,0.243579,0.219399,161.99,163.452978
10267,2918.87,2865.072,4.1,5789.042
10268,1.016051,0.925846,14,16.941897
10269,5.239021,5.0512,50.27,61.560221
10270,0.131165,0.122008,17.01,18.263173
10271,0.152268,0.134615,38.2,39.486883
10272,1.122742,0.998611,83.6,86.721353
