"id","assets","liabilities","buffer","weights"
"10001",0.621059,0.559212,41.49,43.670271
"10002",0.256087,0.230613,67.5,68.9867
"10003",0.320813,0.252203,65.49,67.063016
"10004",0.210161,0.187525,40.38,41.777686
"10005",26.206524,23.283742,23.36,73.850266
"10006",0.205458,0.180636,21.41,22.796094
"10007",0.000786,0.000657,14.37,15.371443
"10008",0.204238,0.181427,8.16,9.545665
"10009",0.010638,0.009999,42.71,43.730637
"10010",0.09434,0.084382,25.36,26.538722
"10011",0.27362,0.23539,36.29,37.79901
"10012",0.50786,0.459007,36.1,38.066867
"10013",0.006399,0.005227,36.23,37.241626
"10014",17.850294,15.402616,60.02,94.27291
"10015",0.0261889999999999,0.022268,60.09,61.138457
"10016",0.043229,0.037479,60.61,61.690708
"10017",19.659404,16.855772,61,98.515176
"10018",0.030036,0.026469,52.08,53.136505
"10019",0.046229,0.04006,48.23,49.316289
"10020",194.059851,181.907708,38.53,415.497559
"10021",1.071265,0.92111,65.03,68.022375
"10022",0.323608,0.292478,37.93,39.546086
"10023",14.387852,12.496554,40.36,68.244406
"10024",0.171211,0.153107,17.18,18.504318
"10025",0.071019,0.061514,58.25,59.382533
"10026",0.148744,0.134653,26.06,27.343397
"10027",0.401327,0.35795,60.48,62.239277
"10028",0.001929,0.001674,46.33,47.333603
"10029",0.804919,0.724089,33.92,36.449008
"10030",0.087346,0.076494,84.09,85.25384
"10031",0.051835,0.0455029999999999,42.05,43.147338
"10032",0.0474399999999999,0.042835,51.02,52.110275
"10033",11.152017,10.288221,28.54,50.980238
"10034",0.00371,0.003001,48.79,49.796711
"10035",0.155832,0.140348,54.91,56.20618
"10036",0.581,0.520423,29.13,31.231423
"10037",3.914555,3.443757,20.46,28.818312
"10038",0.412464,0.370146,57.08,58.86261
"10039",0.180711,0.159886,39.16,40.500597
"10040",0.164434,0.145462,26.77,28.079896
"10041",0.198483,0.097419,123.99,125.285902
"10042",0.724595,0.645311,11.09,13.459906
"10043",0.161503,0.144957,66.36,67.66646
"10044",0.070788,0.065627,37.1,38.236415
"10045",22.762234,20.575448,13.27,57.607682
"10046",5.929578,5.501445,8.26,20.691023
"10047",19.257324,19.211343,55,94.468667
"10048",0.086186,0.076911,11.34,12.503097
"10049",0.352589,0.324045,44.46,46.136634
"10050",1.251223,0.940666,22.47,25.661889
"10051",0.474937,0.415846,23.72,25.610783
"10052",0.069061,0.0612669999999999,74.38,75.510328
"10053",0.011967,0.01047,61.2,62.222437
"10054",0.0168919999999999,0.015156,33.1,34.132048
"10055",0.669767,0.535797,41.24,43.445564
"10056",1.989439,1.789981,21.78,26.55942
"10057",0.010628,0.009835,36.12,37.140463
"10058",0.000749,0.000578,48.66,49.661327
"10059",50.408893,47.283682,14.5,113.192575
"10060",0.39741,0.353232,45.57,47.320642
"10061",111.238,103.356,61.22,276.814
"10062",0.005778,0.004784,65.31,66.320562
"10063",0.113319,0.099399,44.63,45.842718
"10064",7.656218,7.655759,0.92,17.231977
"10065",0.155339,0.138056,43.86,45.153395
"10066",0.044056,0.037687,20.53,21.611743
"10067",7.20125,6.024888,64.11,78.336138
"10068",0.131035,0.115651,29.27,30.516686
"10069",1.780862,1.649648,20.58,25.01051
"10070",0.674384,0.61907,56.19,58.483454
"10071",0.55276,0.502733,94.08,96.135493
"10072",0.096052,0.084646,56.46,57.640698
"10073",0.110751,0.099035,41.98,43.189786
"10074",0.080432,0.0702179999999999,30.46,31.61065
"10075",10.172622,9.453895,23.67,44.296517
"10076",0.099884,0.088214,23.97,25.158098
"10077",0.019045,0.016352,48.02,49.055397
"10078",0.20733,0.187087,49.06,50.454417
"10079",0.872592,0.804246,55.92,58.596838
"10080",4.576366,4.205989,18.77,28.552355
"10081",0.107223,0.098657,37.48,38.68588
"10082",0.982419,0.886853,44.39,47.259272
"10083",2.762686,2.495742,33.39,39.648428
"10084",3.230923,3.153736,95.56,102.944659
"10085",0.225408,0.201438,42.26,43.686846
"10086",2.963953,2.728287,15.35,22.04224
"10087",1.596065,1.468106,30.62,34.684171
"10088",0.89396,0.810002,14.55,17.253962
"10089",0.214165,0.196602,37.37,38.780767
"10090",4.744505,4.396623,51.12,61.261128
"10091",0.018726,0.017171,60.51,61.545897
"10092",2.650054,2.412329,37.88,43.942383
"10093",0.0187,0.016802,67.92,68.955502
"10094",0.158492,0.143864,34.2,35.502356
"10095",2.332216,1.929404,16.63,21.89162
"10096",0.95678,0.853932,11.31,14.120712
"10097",0.0004089999999999,0.000365,97.96,98.960774
"10098",0.035475,0.032031,69.5,70.567506
"10099",0.6741,0.62128,43.64,45.93538
"10100",0.115819,0.105982,39.26,40.481801
"10101",0.222136,0.188437,12.64,14.050573
"10102",0.163706,0.148118,30.83,32.141824
"10103",0.391767,0.354036,61.46,63.205803
"10104",10.835275,10.25921,6.41,28.504485
"10105",0.095861,0.087129,2.66,3.84299
"10106",0.664052,0.592802,7.99,10.246854
"10107",0.099455,0.0896909999999999,38.49,39.679146
"10108",0.030594,0.025916,60.8,61.85651
"10109",0.071997,0.063832,61.65,62.785829
"10110",0.074769,0.068184,57,58.142953
"10111",0.01879,0.016621,77.18,78.215411
"10112",0.665271,0.604941,22.15,24.420212
"10113",0.04324,0.037804,67.72,68.801044
"10114",0.015533,0.01308,59.25,60.278613
"10115",0.060922,0.053649,85.21,86.324571
"10116",0.0034049999999999,0.002942,14.87,15.876347
"10117",0.01094,0.0092769999999999,65.14,66.160217
"10118",0.130789,0.115008,8.48,9.725797
"10119",0.806585,0.704891,27.95,30.461476
"10120",26.232479,25.175873,15.47,67.878352
"10121",0.18757,0.168271,24.77,26.125841
"10122",0.143608,0.126484,42.64,43.910092
"10123",0.257221,0.181279,21.99,23.4285
"10124",0.175589,0.158209,41.98,43.313798
"10125",0.089104,0.080008,60.15,61.319112
"10126",0.473159,0.422071,25.37,27.26523
"10127",0.233922,0.210962,20.06,21.504884
"10128",42.404912,39.840674,19.68,102.925586
"10129",0.281111,0.25528,27.12,28.656391
"10130",58.687129,56.320764,119.69,235.697893
"10131",0.012609,0.011617,62.52,63.544226
"10132",1.753369,1.378103,47.24,51.371472
"10133",7.430594,6.77509,34.67,49.875684
"10134",0.145797,0.12811,51.87,53.143907
"10135",0.198474,0.159428,15.33,16.687902
"10136",2.809815,2.605946,39.57,45.985761
"10137",0.024184,0.020899,34.61,35.655083
"10138",0.231672,0.211572,38.18,39.623244
"10139",0.103673,0.08968,24.16,25.353353
"10140",0.094746,0.081088,109.44,110.615834
"10141",1.345027,1.199519,35.87,39.414546
"10142",0.196873,0.179036,22.63,24.005909
"10143",0.351396,0.294518,41.8,43.445914
"10144",0.536449,0.4839,40.61,42.630349
"10145",0.041041,0.033493,46.88,47.954534
"10146",0.822314,0.768681,50.87,53.460995
"10147",12.05624,11.405012,39.23,63.691252
"10148",0.144964,0.128895,51.13,52.403859
"10149",0.0200699999999999,0.018647,62.57,63.608717
"10150",677.853004,645.032223,47.97,1371.855227
"10151",1.785622,1.624396,42.65,47.060018
"10152",0.217251,0.197544,11.97,13.384795
"10153",0.07031,0.062683,31.25,32.382993
"10154",0.102375,0.0789049999999999,59.72,60.90128
"10155",0.013525,0.012154,77.89,78.915679
"10156",0.05441,0.048695,62.6,63.703105
"10157",0.138927,0.118267,21.75,23.007194
"10158",0.213702,0.187315,6.79,8.191017
"10159",0.133435,0.120663,22.02,23.274098
"10160",14.590139,13.278106,47.55,76.418245
"10161",0.046355,0.041185,23.08,24.16754
