,id,assets,liabilities,buffer,weights,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
0,10001,0.608274,0.548714,68.03,70.186988,3.48704388,813.6286787,57.01,0.22,-2.78,D++
1,10002,0.239875,0.216178,71.54,72.996053,3.570967186,665.88084,39.98,0.74,-5.66,D++
2,10003,0.25869,0.192755,57.44,58.891445,8.61,43.11,36.77,-0.93,7.34,C--
3,10004,0.205441,0.183767,43.93,45.319208,1.69,66.25,69.35,0.27,3.86,D+
4,10005,17.273748,14.885899,24.23,57.389647,5.63,68.06,78.96,1.23,10.67,D
5,10006,0.189972,0.17021,39.04,40.400182,3.564880714,801.7419066,62.73,0.82,-5.59,D+
6,10007,0.000846,0.000705,20.39,21.391551,3.564369573,628.0936988,31.52,0.0,-1.04,C--
7,10008,0.208092,0.187318,16.29,17.68541,1.76,121.95,76.86,0.9,-3.03,D+
8,10009,0.009847,0.009155,28.93,29.949002,3.506227036,750.2990839,69.25,0.31,-2.18,D+
9,10010,0.085566,0.077144,27.88,29.04271,0.03,4092.31,52.05,0.17,-5.6,D++
10,10011,0.275214,0.240824,47.47,48.986038,0.31,410.25,51.31,0.28,-3.96,D++
11,10012,0.364128,0.33018,28.06,29.754308,9.0,27.26,71.17,0.65,51.22,D+
12,10013,0.006288,0.00512,44.65,45.661408,3.495777749,812.0753552,62.45,0.71,-3.3,D+
13,10014,18.081009,15.817989,66.6,101.498998,0.18,228.97,41.34,0.42,-0.75,D++
14,10015,0.026729,0.022955,55.65,56.699684,0.68,153.23,35.06,0.43,-2.09,C--
15,10016,0.045108,0.039603,74.33,75.414711,3.540097891,789.5138254,40.27,0.09,-0.32,D++
16,10017,17.700429,15.208592,66.1,100.009021,0.385,51.347,55.05,1.21,0.488,D++
17,10018,0.031579,0.028103,54.43,55.489682,3.637036131,728.7944546,31.58,0.28,-8.37,C--
18,10019,0.040104,0.034282,43.24,44.314386,3.535661111,806.9471159,63.72,0.36,-2.29,D+
