,id,assets,liabilities,buffer,weights,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
0,10001,0.785309,0.710243,17.23,19.725552,3.535809982,718.9380459,67.08,0.11,-3.62,C-
1,10002,0.336612,0.299256,29.35,30.985868,3.575046202,675.012908,36.36,0.54,-2.32,C+
2,10003,0.641183,0.542329,49.83,52.013512,5.88,29.5,45.99,-0.314,12.59,C
3,10004,0.311937,0.278426,46.46,48.050363,0.92,210.02,54.33,0.07,-5.24,C
4,10005,29.138708,26.274694,24.04,80.453402,4.593,48.031,62.827,0.297,12.843,C-
5,10006,0.168934,0.153759,16.5,17.822693,3.533459017,769.3430888,53.357,0.658,-4.947,C
6,10007,0.0003509999999999,0.000252,48.89,49.890603,3.589242604,656.8911586,33.99,0.0,-4.01,C+
7,10008,0.412072,0.368284,13.35,15.130356,0.15,497.69,83.86,-0.04,-4.72,C--
8,10009,0.008105,0.0075349999999999,24.46,25.47564,3.537347026,871.4375837,61.01,0.39,-6.97,C-
9,10010,0.218328,0.197709,31.69,33.106037,0.49,243.55,64.72,0.0,-4.91,C-
10,10011,0.408276,0.357476,33.42,35.185752,0.19,660.8,63.41,0.09,-5.52,C-
11,10012,0.565409,0.512845,25.93,28.008254,1.55,52.03,74.34,0.09,6.0,C-
12,10013,0.0070079999999999,0.005824,33.89,34.902832,3.582001239,718.2957188,67.77,0.14,-4.22,C-
13,10014,38.059949,35.009676,69.84,143.909625,0.11,326.97,34.11,0.24,-1.05,C+
14,10015,0.027172,0.022968,73.21,74.26014,0.0,62.186,37.57,-0.01,-4.83,C+
15,10016,0.050879,0.045453,31.27,32.366332,3.502223213,837.3673852,58.57,0.45,-1.26,C
16,10017,29.244442,25.053187,63.09,118.387629,0.17,291.41,44.66,0.04,-0.99,C
17,10018,0.034861,0.031235,42.51,43.576096,3.534080615,758.0494792,53.61,0.31,-4.09,C
18,10019,0.074406,0.064897,17.47,18.609303,3.545139995,771.8787398,48.72,0.14,-0.81,C
19,10020,376.768418,344.489575,31.47,753.727993,1.64,218.79,43.14,1.13,-11.23,C
20,10021,1.329522,1.13501,50.81,54.274532,1.45,109.28,51.74,0.07,-0.49,C
21,10022,0.510325,0.465339,26.63,28.605664,2.32,69.48,74.24,0.26,6.06,C-
22,10023,14.455722,12.173693,53.78,81.409415,1.353,422.543,51.93,2.81,-19.59,C
23,10024,0.741406,0.666626,24.22,26.628032,0.04,828.64,73.76,0.01,-2.14,C-
24,10025,0.0855679999999999,0.073436,54.67,55.829004,2.42,60.34,50.9,0.15,3.49,C
