,id,assets,liabilities,buffer,weights,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
0,10001,0.621059,0.559212,41.49,43.670271,3.571814927,828.3225481,65.38,0.1,-3.5,C
1,10002,0.256087,0.230613,67.5,68.9867,3.130465947,2144721.319,41.32,0.53,-2.6,A--
2,10003,0.320813,0.252203,65.49,67.063016,7.57,38.69,31.84,-1.25,7.12,C++
3,10004,0.210161,0.187525,40.38,41.777686,0.6,153.39,67.02,0.14,-2.12,C
4,10005,26.206524,23.283742,23.36,73.850266,6.56,55.86,78.47,0.06,21.14,C-
5,10006,0.205458,0.180636,21.41,22.796094,3.56883515,892.5006578,66.32,1.05,-5.94,C
6,10007,0.000786,0.000657,14.37,15.371443,3.531814262,1090.821818,22.06,3.17,0.0,C++
7,10008,0.204238,0.181427,8.16,9.545665,0.35,488.8,82.71,0.67,-10.35,C-
8,10009,0.010638,0.009999,42.71,43.730637,3.513848192,845.0094425,65.0,2.08,-13.41,C
9,10010,0.09434,0.084382,25.36,26.538722,0.03,5089.47,67.68,0.01,-8.9,C
10,10011,0.27362,0.23539,36.29,37.79901,0.0,23675.0,60.74,0.16,-4.93,C
11,10012,0.50786,0.459007,36.1,38.066867,2.86,78.31,57.85,1.9,3.81,C
12,10013,0.006399,0.005227,36.23,37.241626,3.49990228,881.2925921,69.04,0.82,-2.12,C
13,10014,17.850294,15.402616,60.02,94.27291,0.12,255.62,47.04,0.4,-0.66,C+
14,10015,0.0261889999999999,0.022268,60.09,61.138457,0.92,97.3,44.33,-0.04,0.18,C+
15,10016,0.043229,0.037479,60.61,61.690708,3.511803255,758.13902,46.4,0.37,-1.26,C+
16,10017,19.659404,16.855772,61.0,98.515176,0.385,51.347,69.89,2.03,0.488,C
17,10018,0.030036,0.026469,52.08,53.136505,3.572220853,673.0165983,33.72,-0.08,-4.51,C++
18,10019,0.046229,0.04006,48.23,49.316289,3.500560826,882.379989,58.78,0.6,-3.05,C
19,10020,194.059851,181.907708,38.53,415.497559,0.98,260.55,39.77,0.64,-10.22,C+
20,10021,1.071265,0.92111,65.03,68.022375,1.83,74.97,38.05,0.23,1.26,C+
21,10022,0.323608,0.292478,37.93,39.546086,0.95,134.56,64.18,1.35,-2.23,C
22,10023,14.387852,12.496554,40.36,68.244406,0.8,751.62,55.06,-0.17,-23.26,C+
23,10024,0.171211,0.153107,17.18,18.504318,1.66,29.54,86.67,0.04,8.98,C-
24,10025,0.071019,0.061514,58.25,59.382533,0.747,280.937,26.448,0.14,0.618,C++
25,10026,0.148744,0.134653,26.06,27.343397,0.103,2085.442,37.337,0.008,-4.364,C+
26,10027,0.401327,0.35795,60.48,62.239277,3.532731663,762.8009501,48.86,0.12,-2.76,C+
27,10028,0.001929,0.001674,46.33,47.333603,3.555523419,736.1078427,23.64,0.26,-1.58,C++
28,10029,0.804919,0.724089,33.92,36.449008,3.498725541,712.336651,43.43,0.3,-2.9,C+
29,10030,0.087346,0.076494,84.09,85.25384,3.570836753,727.3013664,33.23,0.37,-1.03,C++
30,10031,0.051835,0.0455029999999999,42.05,43.147338,3.606534167,886.9481706,53.22,-0.01,-1.84,C+
31,10032,0.0474399999999999,0.042835,51.02,52.110275,1.5,129.97,48.99,0.2,-2.05,C+
32,10033,11.152017,10.288221,28.54,50.980238,1.28,150.25,34.18,0.142,-2.89,C++
33,10034,0.00371,0.003001,48.79,49.796711,3.536318113,754.3856074,53.26,0.13,-0.94,C+
34,10035,0.155832,0.140348,54.91,56.20618,3.547848823,789.4722523,53.29,0.22,-5.94,C+
35,10036,0.581,0.520423,29.13,31.231423,1.43,77.45,67.64,0.71,2.11,C
36,10037,3.914555,3.443757,20.46,28.818312,2.18,73.43,57.47,-0.12,2.81,C
37,10038,0.412464,0.370146,57.08,58.86261,3.600729356,763.1744745,52.63,0.8,-7.51,C+
38,10039,0.180711,0.159886,39.16,40.500597,21.28,55.19,39.92,0.014,90.55,C+
39,10040,0.164434,0.145462,26.77,28.079896,0.22,728.07,60.92,0.0,-7.55,C
40,10041,0.198483,0.097419,123.99,125.285902,3.627166841,1009.678458,29.25,0.269831435,-1.017,C++
41,10042,0.724595,0.645311,11.09,13.459906,3.580604736,677.6179799,23.83,0.13,-0.28,C++
42,10043,0.161503,0.144957,66.36,67.66646,2.77,43.17,37.9,0.09,5.89,C+
43,10044,0.070788,0.065627,37.1,38.236415,3.552644291,785.5767848,58.82,0.61,-9.41,C
44,10045,22.762234,20.575448,13.27,57.607682,1.85,136.07,46.28,2.4,-26.72,C+
45,10046,5.929578,5.501445,8.26,20.691023,3.16,27.94,88.88,-0.001,28.28,C-
46,10047,19.257324,19.211343,55.0,94.468667,3.57077416,791.4406761,55.23,0.252224835,7.5375156,C+
47,10048,0.086186,0.076911,11.34,12.503097,2.01,131.33,48.1,0.12,-2.98,C+
48,10049,0.352589,0.324045,44.46,46.136634,2.15,56.0,53.32,0.17,6.31,C+
49,10050,1.251223,0.940666,22.47,25.661889,0.26,213.17,75.74,0.07,-0.89,C
50,10051,0.474937,0.415846,23.72,25.610783,88.16,35.97,76.8,0.52,1087.68,C-
51,10052,0.069061,0.0612669999999999,74.38,75.510328,1.881,18.789,17.458,0.119,3.577,C++
52,10053,0.011967,0.01047,61.2,62.222437,3.522266517,789.6270368,40.39,0.49,-2.22,C+
53,10054,0.0168919999999999,0.015156,33.1,34.132048,0.8,75.728,37.873,0.09,3.305,C+
