,id,assets,liabilities,buffer,weights,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
0,10001,0.626527,0.564676,41.08,43.271203,3.630981891,1055.064783,66.58,0.07,-3.46,D++
1,10002,0.263577,0.23767,64.11,65.611247,3.538266446,708.5225449,42.33,0.56,-2.39,C--
2,10003,0.32777,0.254294,46.88,48.462064,3.09,65.83,43.22,-0.49,2.08,C--
3,10004,0.212034,0.187871,37.09,38.489905,0.28,375.95,57.21,0.07,-5.07,D++
4,10005,23.365743,20.573284,22.44,67.379027,6.24,58.82,79.25,0.07,17.69,D+
5,10006,0.21772,0.190602,22.36,23.768322,3.574276707,814.1116627,64.13,0.91,-5.16,D++
6,10007,0.000698,0.000575,59.58,60.581273,3.567728691,655.5977318,24.73,0.0,-2.11,C-
7,10008,0.21773,0.193326,4.94,6.351056,0.16,872.08,85.21,0.77,-9.74,D+
8,10009,0.0097349999999999,0.00912,25.01,26.028855,3.492700717,814.3907073,71.58,0.7,-12.85,D+
9,10010,0.098882,0.088354,21.49,22.677236,0.07,2831.91,69.33,0.0,-11.09,D+
10,10011,0.297156,0.2594,34.98,36.536556,0.88,132.43,61.12,0.02,-1.39,D++
11,10012,0.471345,0.426843,29.37,31.268188,2.11,94.99,63.0,0.47,0.72,D++
12,10013,0.006736,0.005581,42.91,43.922317,3.543613841,1138.063182,63.03,1.03,-3.39,D++
13,10014,19.067268,16.518071,61.19,97.775339,0.11,358.11,46.17,0.34,-0.97,C--
14,10015,0.026794,0.022803,61.27,62.319597,0.96,107.08,46.75,0.04,-0.45,C--
15,10016,0.044381,0.038612,57.39,58.472993,3.540739958,754.3344314,44.28,0.25,-0.82,C--
16,10017,20.593934,17.67275,65.17,104.436684,0.385,51.347,55.72,3.3,0.488,D++
17,10018,0.030132,0.0266,51.83,52.886732,3.544722634,690.2508088,38.46,0.73,-3.11,C--
18,10019,0.049544,0.043153,52.0,53.092697,3.490499658,834.2591389,55.43,0.76,-3.81,D++
19,10020,223.236605,208.935689,36.67,469.842294,1.19,237.7,35.98,0.84,-9.45,C--
20,10021,1.026133,0.868974,58.45,61.345107,0.66,191.37,41.87,0.33,-1.67,C--
21,10022,0.357979,0.325271,24.83,26.51325,0.19,621.01,76.17,0.06,-8.49,D+
22,10023,13.302669,11.402418,38.53,64.235087,0.9,571.38,56.91,2.88,-17.88,D++
23,10024,0.192023,0.173241,10.35,11.715264,0.87,51.75,87.6,0.06,3.83,D+
24,10025,0.071814,0.0618419999999999,58.84,59.973656,0.747,280.937,26.448,0.14,0.618,C-
25,10026,0.152258,0.137457,27.96,29.249715,0.103,2085.442,37.337,0.008,-4.364,C--
26,10027,0.418867,0.37317,51.78,53.572037,3.539241914,815.095483,56.32,0.18,-3.95,D++
27,10028,0.0018239999999999,0.0015689999999999,48.12,49.123393,3.548557385,784.1266275,23.2,1.67,-1.81,C-
28,10029,0.833656,0.749792,30.32,32.903448,3.489215504,798.8739576,48.56,0.25,-2.87,D++
29,10030,0.08843,0.077637,74.43,75.596067,3.575383419,677.8569253,39.17,0.14,-1.06,C--
30,10031,0.057348,0.050467,40.73,41.837815,3.538513567,770.7856137,52.01,0.15,-1.08,D++
31,10032,0.047622,0.042922,52.71,53.800544,2.93,71.82,47.8,-0.04,3.4,D++
32,10033,16.334027,15.429583,42.91,75.67361,1.28,181.35,28.13,0.142,-5.41,C--
33,10034,0.003652,0.002972,39.64,40.646624,3.492202723,1164.540649,60.54,0.49,-1.89,D++
34,10035,0.164601,0.148117,50.67,51.982718,3.534866645,756.4195247,54.89,0.29,-4.6,D++
35,10036,0.602066,0.539849,31.17,33.311915,1.57,75.53,66.14,0.44,2.49,D++
36,10037,4.219008,3.714352,19.43,28.36336,1.47,96.72,58.99,-0.07,0.24,D++
37,10038,0.434151,0.390514,41.45,43.274665,3.573965184,747.6882487,62.3,0.68,-10.48,D++
38,10039,0.182785,0.16125,37.27,38.614035,16.49,64.45,43.7,0.014,61.47,C--
39,10040,0.173735,0.154095,23.32,24.64783,0.18,781.22,65.41,0.01,-7.39,D++
40,10041,0.17428,0.059604,256.83,258.063884,3.635644428,873.8495819,24.62,0.269762609,-1.017,C-
41,10042,0.792379,0.702173,9.25,11.744552,3.581157126,719.0886881,23.53,0.2,-0.46,C-
42,10043,0.178988,0.160912,66.34,67.6799,2.15,51.01,37.97,-0.02,4.01,C--
