,id,assets,liabilities,buffer,weights,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
13593,23594,0.041786,0.037776,11.77,12.849562,6.99,154.33,56.4,0.032,-14.32,D++
13594,23595,3.048322,2.660705,20.76,27.469027,0.44,373.94,62.43,0.16,-9.29,D+
13595,23596,0.394768,0.359977,57.7,59.454745,4.46,44.56,42.54,0.06,12.16,D++
13596,23597,0.495637,0.450031,65.76,67.705668,3.572432131,1008.456592,48.64,0.08,-5.48,D++
13597,23598,1.00968,0.8093,45.06,47.87898,3.58358957,725.6827012,21.11,0.19,-0.47,C-
13598,23599,2.132556,1.900438,17.1,22.132994,2.04,215.57,60.07,0.13,-13.58,D++
13599,23600,0.037872,0.034914,19.19,20.262786,3.59140924,729.315813,78.45,0.33,-5.84,D+
13600,23601,18.308428,16.973653,10.9,47.182081,2.07,54.92,74.23,0.01,9.6,D+
13601,23602,0.251666,0.213208,55.29,56.754874,0.27,574.87,61.84,0.320259692,-8.83,D++
13602,23603,0.051665,0.047399,34.13,35.229064,0.579,754.1060097,63.73,0.137003247,9.401083847,D+
13603,23604,0.064515,0.060286,68.0,69.124801,3.575344266,707.5168074,42.2,0.65,-5.79,D++
13604,23605,7.507419,7.026997,38.82,54.354416,0.21,0.77,68.65,0.337218054,2.22,D+
13605,23606,4.665488,4.239988,11.0,20.905476,1.635,31.982,60.79,0.001,5.552,D++
13606,23607,0.004372,0.00341,39.48,40.487782,3.500182247,827.5535341,56.28,0.31,-2.26,D++
13607,23608,2.538013,2.231767,21.59,27.35978,1.07,221.61,80.12,0.09,-8.86,D+
13608,23609,0.4001,0.367039,35.45,37.217139,1.338,78.437,32.36,1.88,-0.59,C--
13609,23610,0.263932,0.240978,36.43,37.93491,1.23,145.25,59.4,0.53,-3.11,D++
13610,23611,0.087425,0.080594,40.65,41.818019,3.565505449,830.2332735,58.93,0.2,-7.52,D++
13611,23612,0.004574,0.003846,60.93,61.93842,3.599563299,931.7015298,49.1,0.0,-1.62,D++
13612,23613,0.723477,0.659105,8.44,10.822582,1.33,70.78,85.64,0.38,3.77,D
13613,23614,0.373366,0.322674,22.41,24.10604,3.59392383,608.1600768,71.8,0.216793197,7.546013691,D+
13614,23615,0.067364,0.057599,70.73,71.854963,3.579533017,676.1535635,40.05,0.14,-2.43,C--
13615,23616,0.001951,0.001771,32.22,33.223722,3.562654957,895.0305501,69.86,2.74,-9.1,D+
13616,23617,0.080771,0.071409,42.06,43.21218,3.541076303,766.0599821,53.21,0.15,-0.88,D++
13617,23618,0.35789,0.318943,45.81,47.486833,0.45,252.89,54.2,-0.1,-3.46,D++
13618,23619,0.023627,0.0211,87.58,88.624727,3.587887841,652.0930513,33.89,0.17,-1.96,C--
13619,23620,0.223265,0.203791,51.39,52.817056,3.649173454,855.0342352,43.48,-0.038381073,7.751213175,D++
13620,23621,0.058088,0.050208,65.53,66.638296,0.94,132.52,49.86,0.58,-1.92,D++
13621,23622,0.004001,0.00319,63.65,64.657191,3.479125237,815.5376047,55.66,2.82,-14.94,D++
13622,23623,1.532426,0.972984,38.29,41.79541,0.39,56.67,69.46,0.01,0.32,D+
13623,23624,0.007074,0.006026,12.45,13.4631,3.512841056,923.2463188,51.98,2.06,-3.51,D++
13624,23625,0.003567,0.002993,72.87,73.87656,3.570336515,619.7195876,29.71,0.0,-7.04,C--
13625,23626,0.262221,0.223346,5.41,6.895567,0.61,709.32,84.96,0.004,-22.3,D
13626,23627,4.822838,3.896006,30.97,40.688844,0.57,351.73,57.02,-0.37,-4.31,D++
13627,23628,8.386607,7.834271,83.11,100.330878,0.05,14.75,88.13,0.002,0.63,D
13628,23629,0.042072,0.037934,75.89,76.970006,3.640898159,851.5488373,33.2,1.26,-4.5,C--
13629,23630,0.011032,0.009834,44.47,45.490866,3.520563081,751.7388577,45.72,0.28,-2.23,D++
13630,23631,34.543427,31.956795,34.03,101.530222,0.45,226.94,53.28,0.15,-4.11,D++
13631,23632,2.133755,1.878787,54.77,59.782542,5.94,71.19,45.31,-0.06,6.78,D++
13632,23633,0.000287,0.000259,60.56,61.560546,3.528805585,841.9202725,66.88,1.6,-33.35,D+
13633,23634,0.070379,0.057153,71.98,73.107532,3.635431784,962.1655372,32.68,0.07,-0.39,C--
13634,23635,0.321104,0.290549,36.21,37.821653,0.17,727.79,61.93,0.1,-7.17,D++
13635,23636,0.007897,0.006638,52.4,53.414535,3.555583278,787.0432814,48.72,2.45,-10.85,D++
13636,23637,0.205044,0.180603,32.69,34.075647,0.78,153.32,79.32,0.11,-3.44,D+
13637,23638,0.112455,0.098007,21.97,23.180462,0.095,119.52,26.082,0.045,-1.714,C--
13638,23639,0.048846,0.04289,43.84,44.931736,0.174,224.31,26.047,0.044,-1.739,C--
13639,23640,0.162864,0.14431,28.54,29.847174,0.0,2025.945,75.57,0.0,-8.52,D+
13640,23641,0.420248,0.385567,13.69,15.495815,3.611447305,1014.77594,81.19,1.02,-10.69,D+
13641,23642,0.004949,0.004322,36.07,37.079271,3.534873674,790.1257332,64.81,0.71,-3.88,D+
13642,23643,3.630112,3.273622,62.33,70.233734,7.8,39.28,39.78,0.0,19.79,C--
13643,23644,10.515071,9.765222,55.74,77.020293,4.43,17.32,45.98,-0.003,23.78,D++
13644,23645,0.171913,0.151753,5.57,6.893666,3.547675972,820.0217456,82.61,0.32,-1.78,D
13645,23646,3100.051021,2887.942678,35.03,6024.023699,0.94,257.19,51.18,0.17,-11.54,D++
13646,23647,0.173926,0.160863,65.92,67.254789,0.22,932.62,36.4,0.11,-8.99,C--
13647,23648,2.715361,2.360237,19.14,25.215598,8.02,62.09,52.64,0.7,12.88,D++
13648,23649,0.044295,0.033284,70.2,71.277579,3.549673709,673.1425749,34.18,0.52,-0.88,C--
13649,23650,0.093749,0.08524,17.8,18.978989,1.92,87.32,80.83,0.042,1.22,D+
13650,23651,0.027786,0.025608,51.32,52.373394,3.590901029,1068.206156,51.06,0.07,-2.6,D++
13651,23652,1.216583,0.932895,111.45,114.599478,4.45,60.31,70.24,0.74,7.81,D+
13652,23653,0.173269,0.158492,35.63,36.961761,3.500401238,751.5384875,70.84,0.37,-3.62,D+
13653,23654,0.127928,0.114798,36.12,37.362726,3.608105036,796.0176564,59.26,0.249976415,7.538349631,D++
