,id,assets,liabilities,buffer,weights,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
0,10001,0.676883,0.614378,28.26,30.551261,3.531638526,725.2062879,71.77,0.13,-3.08,C-
1,10002,0.275568,0.247412,62.09,63.61298,3.509289582,726.3607525,44.43,0.57,-2.83,C
2,10003,0.443291,0.352391,47.09,48.885682,2.79,40.02,47.5,0.53,3.93,C
3,10004,0.234565,0.208343,35.01,36.452908,0.84,239.25,63.82,0.06,-6.82,C
4,10005,31.071557,27.687517,25.07,84.829074,5.17,56.14,76.27,0.04,16.37,C-
5,10006,0.223828,0.199829,21.4,22.823657,3.591869898,820.2170447,65.5,0.98,-7.35,C-
6,10007,0.000517,0.000432,45.14,46.140949,3.565670079,727.0703201,41.34,0.0,-5.02,C+
7,10008,0.219348,0.192903,14.47,15.882251,0.5,261.7,78.52,0.03,-5.33,C-
8,10009,0.007464,0.0069159999999999,11.72,12.73438,3.634702575,731.6860002,79.54,0.83,-7.48,C-
9,10010,0.118886,0.107476,15.84,17.066362,0.65,191.29,76.54,-0.18,-4.78,C-
10,10011,0.361236,0.315833,40.9,42.577069,0.25,413.86,56.26,0.3,-3.49,C
11,10012,0.459294,0.415325,22.93,24.804619,2.19,61.54,75.09,0.67,6.69,C-
12,10013,0.0066099999999999,0.005468,20.1,21.112078,3.581497275,848.5510493,77.66,0.98,-4.13,C-
13,10014,23.146514,20.405102,66.72,111.271616,0.08,386.46,40.81,0.29,-0.79,C+
14,10015,0.025799,0.021918,68.44,69.487717,0.0,62.186,40.87,0.03,-5.13,C+
15,10016,0.046636,0.041102,49.21,50.297738,3.52489117,778.3154438,40.9,0.39,-1.34,C+
16,10017,23.615382,20.346208,63.86,108.82159,0.75,59.27,42.33,0.0,0.94,C+
17,10018,0.031392,0.028017,46.75,47.809409,3.518973797,722.4795877,45.66,0.23,-3.76,C
18,10019,0.057262,0.0499449999999999,53.76,54.867207,3.502653805,804.4665648,50.66,0.32,-1.75,C
19,10020,277.622533,254.97965,45.66,579.262183,1.15,272.52,35.58,0.28,-8.94,C+
20,10021,0.940955,0.775128,50.92,53.636083,2.08,52.37,50.71,0.13,2.88,C
21,10022,0.39991,0.364506,21.63,23.394416,0.7,186.64,79.04,0.0,-5.46,C-
22,10023,14.556429,12.38677,43.04,70.983199,0.53,1098.63,50.89,-0.71,-19.0,C
23,10024,0.352655,0.316583,16.57,18.239238,0.37,66.34,70.19,0.0,0.85,C-
24,10025,0.074304,0.063659,53.95,55.087963,0.71,180.87,51.8,0.06,-2.1,C
25,10026,0.16917,0.153437,21.62,22.942607,0.19,713.36,75.74,0.0,-9.63,C-
26,10027,0.450611,0.399978,39.35,41.200589,3.514205126,828.1651706,63.46,0.42,-3.81,C
27,10028,0.001684,0.001465,47.08,48.083149,3.578191527,1894.103387,17.54,7.95,-11.59,C++
28,10029,0.880822,0.793626,18.64,21.314448,3.500567097,819.2993255,56.29,0.21,-2.46,C
29,10030,0.092767,0.081308,58.39,59.564075,3.622662776,1062.158956,51.51,0.04,-1.39,C
30,10031,0.067396,0.059487,20.82,21.946883,3.554819995,810.0171163,44.41,0.08,-1.62,C
31,10032,0.049915,0.045083,49.26,50.354998,0.03,7171.43,52.83,0.82,-10.24,C
32,10033,23.403909,21.575978,31.64,77.619887,1.0,249.36,36.66,0.38,-7.22,C+
33,10034,0.003886,0.003275,55.66,56.667161,3.515270978,758.606808,46.09,0.38,-1.65,C
