,id,assets,liabilities,buffer,weights,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
0,10001,0.614461,0.554607,64.8,66.969068,3.563439622,882.2710027,53.79,0.103,-2.59,C+
1,10002,0.230086,0.207288,65.34,66.777374,3.528285958,711.4020401,44.52,0.527,-4.95,C+
2,10003,0.243475,0.17907,69.74,71.162545,9.41,36.72,32.35,-0.314,7.54,C++
3,10004,0.137181,0.122675,35.57,36.829856,1.34,120.68,63.33,1.15,-1.69,C
4,10005,16.934466,14.761579,21.43,54.126045,6.18,61.63,81.15,1.47,15.6,C-
5,10006,0.172613,0.155166,37.5,38.827779,3.566763556,870.1567184,64.51,0.658,-4.85,C
6,10007,0.000818,0.000673,6.92,7.921491,3.582340415,695.9010427,31.5,0.958,0,C++
7,10008,0.206924,0.186355,16,17.393279,1.91,113.95,77.14,1.2,-2.11,C-
8,10009,0.008119,0.007476,40.67,41.685595,3.53297152,895.0559241,60.16,0.643,-6.37,C
9,10010,0.079343,0.072003,24.47,25.621346,0,1380.007,74.26,0.11,-10.05,C
10,10011,0.221487,0.189879,42.1,43.511366,0.99,156.91,56.98,0.2,-2.29,C
11,10012,0.40289,0.366278,26.76,28.529168,10.6,17.78,72.28,0.91,70.67,C
12,10013,0.005678,0.004513,34.58,35.590191,3.53300857,782.0457604,71.33,0.386,-4.06,C
13,10014,16.748606,14.680503,67.43,99.859109,0.18,185.96,40.34,0.4,-0.51,C+
14,10015,0.025812,0.022339,53.76,54.808151,0,62.186,39.03,0.08,-6.45,C+
15,10016,0.042732,0.037225,81.38,82.459957,3.543006794,711.9743475,39.45,0.221,-0.9,C+
16,10017,16.351534,14.023151,60.56,91.934685,1.66,30.86,43.47,0.04,3.52,C+
17,10018,0.031842,0.028241,55.8,56.860083,3.635238891,658.8807938,34.86,0.248,-10.35,C++
