,id,assets,liabilities,buffer,weights,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
0,10001,0.642628,0.580325,34.86,37.082953,3.53698433,722.1222551,68.12,0.11,-3.13,D+
1,10002,0.268668,0.242547,65.75,67.261215,3.493984476,763.9490173,40.38,0.66,-2.91,D++
2,10003,0.352712,0.272673,40.05,41.675385,2.75,59.25,51.45,0.06,2.58,D++
3,10004,0.223448,0.198581,36.91,38.332029,2.02,50.92,59.94,0.26,6.43,D+
4,10005,24.76536,21.939214,25.7,73.404574,5.79,58.05,75.65,0.05,16.68,D
5,10006,0.218318,0.194795,34.86,36.273113,3.560168073,839.0104023,63.2,0.89,-6.63,D+
6,10007,0.000545,0.0004639999999999,46.4,47.401009,3.533035353,5747.314578,40.47,4.49,-1.92,D++
7,10008,0.221887,0.196266,10.65,12.068153,0.1,1521.51,81.24,0.54,-10.32,D
8,10009,0.008012,0.007478,21.15,22.16549,3.534096724,745.5430163,74.21,0.55,-14.43,D+
9,10010,0.098282,0.08721,19.54,20.725492,0.19,1203.23,63.11,0.13,-11.24,D+
10,10011,0.344748,0.303307,36.37,38.018055,0.59,195.95,60.13,0.13,-2.86,D+
11,10012,0.453453,0.409474,9.78,11.642927,2.19,75.52,82.56,0.07,4.64,D
12,10013,0.006686,0.00552,27.07,28.082206,3.536298571,726.0004059,71.85,0.11,-3.73,D+
13,10014,21.034332,18.418741,67.01,107.463073,0.11,426.32,40.58,0.38,-1.14,D++
14,10015,0.025405,0.02159,64.84,65.886995,1.45,73.68,48.67,1.48,2.73,D++
15,10016,0.045245,0.039591,54.61,55.694836,3.541943603,714.3138783,41.99,0.41,-1.63,D++
16,10017,21.842825,18.698681,68.05,109.591506,0.385,51.347,48.71,2.45,0.488,D++
17,10018,0.030626,0.027207,47.45,48.507833,3.486987308,729.4817812,43.77,0.31,-3.96,D++
18,10019,0.054254,0.0473569999999999,58.93,60.031611,3.500359992,796.2268044,49.79,0.4,-1.9,D++
19,10020,252.578662,235.856078,44.95,534.38474,1.17,255.5,30.61,0.58,-8.69,C--
20,10021,0.930241,0.769698,52.25,54.949939,2.47,47.18,46.62,0.15,3.56,D++
21,10022,0.37944,0.345898,23.9,25.625338,0.24,474.83,76.87,0.06,-7.99,D
22,10023,13.474731,11.502342,41.58,67.557073,0.5,1175.79,54.55,2.09,-21.39,D++
23,10024,0.211309,0.191902,12.17,13.573211,0.89,51.12,84.89,0.03,4.16,D
24,10025,0.0719279999999999,0.062069,51.14,52.273997,0.747,280.937,26.448,0.14,0.618,C--
25,10026,0.159388,0.144429,24.79,26.093817,0.103,2085.442,37.337,0.008,-4.364,D++
26,10027,0.431029,0.383222,45.2,47.014251,3.50372806,851.6305391,60.69,0.35,-3.65,D+
27,10028,0.001696,0.001438,52.25,53.253134,3.607341424,1034.615741,24.26,-1.52,-4.28,C--
28,10029,0.86768,0.782496,19.97,22.620176,3.493255463,771.9712173,52.21,0.18,-2.78,D++
29,10030,0.090008,0.078953,61.18,62.348961,3.626790344,1010.984788,48.35,0.04,-1.14,D++
