,id,assets,liabilities,buffer,weights,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
0,10001,0.711138,0.648431,21.66,24.019569,3.554347331,845.2042972,58.871,0.103,-2.872,C
1,10002,0.282468,0.252277,58.43,59.964745,3.547106891,673.3121409,37.5,0.527,-3.065,C+
2,10003,0.53387,0.432109,54.13,56.095979,5.333,39.913,36.856,-0.314,5.872,C+
3,10004,0.238733,0.211006,34.75,36.199739,1.22,165.38,63.57,0.11,-4.45,C
4,10005,37.377754,33.43582,24.44,96.253574,4.593,48.031,62.827,0.297,12.843,C
5,10006,0.229338,0.204863,7.94,9.374201,3.533459017,769.3430888,53.357,0.658,-4.947,C
6,10007,0.000489,0.0004,43.88,44.880889,3.575533073,699.4044498,28.151,0.958,-1.898,C++
7,10008,0.223,0.196997,5.95,7.369997,0.0,502.966,86.38,0.1,-8.08,C-
8,10009,0.006916,0.0063539999999999,2.29,3.30327,3.576907952,783.4528994,62.017,0.643,-7.675,C
9,10010,0.148073,0.129324,23.64,24.917397,3.17,39.87,69.87,0.0,10.65,C-
10,10011,0.373415,0.325614,33.07,34.769029,0.34,284.15,62.58,0.13,-3.14,C
11,10012,0.460502,0.414533,30.57,32.445035,1.46,88.79,69.81,0.17,1.16,C
12,10013,0.0065339999999999,0.0054159999999999,13.13,14.14195,3.513509489,821.8834689,62.949,0.386,-3.253,C
13,10014,28.584148,25.648939,70.05,125.283087,0.07,592.55,36.84,0.18,-1.23,C+
14,10015,0.026614,0.022736,68.68,69.72935,0.0,62.186,40.29,0.0,-5.13,C+
15,10016,0.048027,0.042613,43.81,44.90064,3.543985739,708.7510766,39.322,0.221,-0.838,C+
16,10017,25.225927,21.66429,62.14,110.030217,0.7,59.2,43.89,0.01,0.9,C+
17,10018,0.032158,0.028827,46.05,47.110985,3.591395503,664.0305549,37.481,0.248,-4.56,C+
18,10019,0.06027,0.0525329999999999,48.59,49.702803,3.502472283,801.5940062,50.76,0.313,-1.996,C
19,10020,295.895587,272.290069,40.63,609.815656,1.14,332.95,40.36,0.49,-13.99,C+
20,10021,1.01653,0.840568,50.73,53.587098,1.56,69.42,51.77,0.14,1.44,C
21,10022,0.436231,0.398239,17.94,19.77447,0.18,606.46,82.18,0.17,-8.88,C-
22,10023,14.717658,12.313253,49.7,77.730911,0.0,422.543,50.43,1.32,-19.48,C
23,10024,0.424576,0.383152,20.61,22.417728,0.13,283.33,74.37,0.0,-1.89,C-
24,10025,0.076674,0.065907,44.49,45.632581,2.9,41.71,59.28,0.01,7.22,C
25,10026,0.182842,0.166378,16.34,17.68922,0.14,930.2,80.57,0.0,-10.19,C-
