id,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
10001,3.571814927,828.3225481,65.38,0.1,-3.5,C
10002,3.130465947,2144721.319,41.32,0.53,-2.6,A--
10003,7.57,38.69,31.84,-1.25,7.12,C++
10004,0.6,153.39,67.02,0.14,-2.12,C
10005,6.56,55.86,78.47,0.06,21.14,C-
10006,3.56883515,892.5006578,66.32,1.05,-5.94,C
10007,3.531814262,1090.821818,22.06,3.17,0,C++
10008,0.35,488.8,82.71,0.67,-10.35,C-
10009,3.513848192,845.0094425,65,2.08,-13.41,C
10010,0.03,5089.47,67.68,0.01,-8.9,C
10011,0,23675,60.74,0.16,-4.93,C
10012,2.86,78.31,57.85,1.9,3.81,C
10013,3.49990228,881.2925921,69.04,0.82,-2.12,C
10014,0.12,255.62,47.04,0.4,-0.66,C+
10015,0.92,97.3,44.33,-0.04,0.18,C+
10016,3.511803255,758.13902,46.4,0.37,-1.26,C+
10017,0.385,51.347,69.89,2.03,0.488,C
10018,3.572220853,673.0165983,33.72,-0.08,-4.51,C++
10019,3.500560826,882.379989,58.78,0.6,-3.05,C
10020,0.98,260.55,39.77,0.64,-10.22,C+
10021,1.83,74.97,38.05,0.23,1.26,C+
10022,0.95,134.56,64.18,1.35,-2.23,C
10023,0.8,751.62,55.06,-0.17,-23.26,C+
10024,1.66,29.54,86.67,0.04,8.98,C-
10025,0.747,280.937,26.448,0.14,0.618,C++
10026,0.103,2085.442,37.337,0.008,-4.364,C+
10027,3.532731663,762.8009501,48.86,0.12,-2.76,C+
10028,3.555523419,736.1078427,23.64,0.26,-1.58,C++
10029,3.498725541,712.336651,43.43,0.3,-2.9,C+
10030,3.570836753,727.3013664,33.23,0.37,-1.03,C++
10031,3.606534167,886.9481706,53.22,-0.01,-1.84,C+
10032,1.5,129.97,48.99,0.2,-2.05,C+
10033,1.28,150.25,34.18,0.142,-2.89,C++
10034,3.536318113,754.3856074,53.26,0.13,-0.94,C+
10035,3.547848823,789.4722523,53.29,0.22,-5.94,C+
10036,1.43,77.45,67.64,0.71,2.11,C
10037,2.18,73.43,57.47,-0.12,2.81,C
10038,3.600729356,763.1744745,52.63,0.8,-7.51,C+
10039,21.28,55.19,39.92,0.014,90.55,C+
10040,0.22,728.07,60.92,0,-7.55,C
10041,3.627166841,1009.678458,29.25,0.269831435,-1.017,C++
10042,3.580604736,677.6179799,23.83,0.13,-0.28,C++
10043,2.77,43.17,37.9,0.09,5.89,C+
10044,3.552644291,785.5767848,58.82,0.61,-9.41,C
10045,1.85,136.07,46.28,2.4,-26.72,C+
10046,3.16,27.94,88.88,-0.001,28.28,C-
10047,3.57077416,791.4406761,55.23,0.252224835,7.5375156,C+
10048,2.01,131.33,48.1,0.12,-2.98,C+
10049,2.15,56,53.32,0.17,6.31,C+
10050,0.26,213.17,75.74,0.07,-0.89,C
10051,88.16,35.97,76.8,0.52,1087.68,C-
10052,1.881,18.789,17.458,0.119,3.577,C++
10053,3.522266517,789.6270368,40.39,0.49,-2.22,C+
10054,0.8,75.728,37.873,0.09,3.305,C+
10055,1.073,52.505,93.06,0.251,0.391,C-
10056,2.73,166.04,54.54,0,-9.23,C+
10057,3.553190024,962.9881225,57.48,0.08,-1.92,C
