id,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
10001,3.630981891,1055.064783,66.58,0.07,-3.46,D++
10002,3.538266446,708.5225449,42.33,0.56,-2.39,C--
10003,3.09,65.83,43.22,-0.49,2.08,C--
10004,0.28,375.95,57.21,0.07,-5.07,D++
10005,6.24,58.82,79.25,0.07,17.69,D+
10006,3.574276707,814.1116627,64.13,0.91,-5.16,D++
10007,3.567728691,655.5977318,24.73,0,-2.11,C-
10008,0.16,872.08,85.21,0.77,-9.74,D+
10009,3.492700717,814.3907073,71.58,0.7,-12.85,D+
10010,0.07,2831.91,69.33,0,-11.09,D+
10011,0.88,132.43,61.12,0.02,-1.39,D++
10012,2.11,94.99,63,0.47,0.72,D++
10013,3.543613841,1138.063182,63.03,1.03,-3.39,D++
10014,0.11,358.11,46.17,0.34,-0.97,C--
10015,0.96,107.08,46.75,0.04,-0.45,C--
10016,3.540739958,754.3344314,44.28,0.25,-0.82,C--
10017,0.385,51.347,55.72,3.3,0.488,D++
10018,3.544722634,690.2508088,38.46,0.73,-3.11,C--
10019,3.490499658,834.2591389,55.43,0.76,-3.81,D++
10020,1.19,237.7,35.98,0.84,-9.45,C--
10021,0.66,191.37,41.87,0.33,-1.67,C--
10022,0.19,621.01,76.17,0.06,-8.49,D+
10023,0.9,571.38,56.91,2.88,-17.88,D++
10024,0.87,51.75,87.6,0.06,3.83,D+
10025,0.747,280.937,26.448,0.14,0.618,C-
10026,0.103,2085.442,37.337,0.008,-4.364,C--
10027,3.539241914,815.095483,56.32,0.18,-3.95,D++
10028,3.548557385,784.1266275,23.2,1.67,-1.81,C-
10029,3.489215504,798.8739576,48.56,0.25,-2.87,D++
10030,3.575383419,677.8569253,39.17,0.14,-1.06,C--
10031,3.538513567,770.7856137,52.01,0.15,-1.08,D++
10032,2.93,71.82,47.8,-0.04,3.4,D++
10033,1.28,181.35,28.13,0.142,-5.41,C--
10034,3.492202723,1164.540649,60.54,0.49,-1.89,D++
10035,3.534866645,756.4195247,54.89,0.29,-4.6,D++
10036,1.57,75.53,66.14,0.44,2.49,D++
10037,1.47,96.72,58.99,-0.07,0.24,D++
10038,3.573965184,747.6882487,62.3,0.68,-10.48,D++
10039,16.49,64.45,43.7,0.014,61.47,C--
10040,0.18,781.22,65.41,0.01,-7.39,D++
10041,3.635644428,873.8495819,24.62,0.269762609,-1.017,C-
10042,3.581157126,719.0886881,23.53,0.2,-0.46,C-
10043,2.15,51.01,37.97,-0.02,4.01,C--
10044,3.592583948,811.4519023,62.59,0.83,-8.36,D++
10045,4.19,146.61,43.22,2.58,-9.46,C--
10046,3.05,27.91,85.51,-0.001,27.19,D+
10047,3.578053215,824.7976586,56.17,0.250533481,7.407021244,D++
10048,0.8,335.77,46.33,0.01,-8.39,C--
10049,1.26,74.01,56.36,0.34,2.18,D++
10050,0.14,405.7,84.14,0,-1.96,D+
10051,61.84,77.55,63.34,0.35,217.16,D+
10052,1.881,18.789,17.458,0.119,3.577,C-
10053,3.597412792,1328.855289,45.03,0.05,-0.95,C--
10054,0.8,75.728,37.873,0.09,3.305,C--
10055,1.073,52.505,96.54,0.251,0.391,D
10056,2.14,212.93,50.27,0,-14.62,D++
10057,3.640617672,1173.695615,61.33,0.03,-2.72,D++
10058,3.632306873,699.8257503,47.4,-1.01,-10.82,C--
10059,2.96,91.19,71.28,-0.07,2.62,D+
10060,1.07,95.02,53.25,0.16,0.26,D++
10061,0.19,111.11,10.33,0,-0.03,C-
10062,3.538320291,696.8878521,39.63,0.49,-2.86,C--
10063,2.03,69.83,80.14,0.03,4.48,D+
10064,0.32,563.63,32.97,0.197532587,1160.18,C--
10065,0.12,261.54,62.1,0.01,-1.05,D++
10066,3.509647233,812.2493137,64.16,0.32,-2.54,D++
10067,3.552634589,873.6573112,23.42,0.172498663,10.36762831,C-
10068,1.55,120.035,49.477,0.202,2.377,D++
10069,9.05,49.26,79.76,1.41,48.34,D+
10070,13.72,44.38,66.92,-0.77,63.48,D+
10071,0.94,96.56,82.79,0.11,0.28,D+
10072,2.2,89.24,46.07,0.03,0.82,C--
10073,0.287,3.969,25.573,0.01,-0.537,C-
10074,1.015,84.576,32.978,0.093,1.669,C--
10075,4.32,54.04,69.18,0.09,18.63,D+
10076,0.475,119.201,55.673,0.08,-16.609,D++
10077,3.498463709,817.1958604,48.91,0.59,-1.48,D++
10078,2.73,43.73,43.62,0.23,5.08,C--
10079,3.552058162,738.5887734,72.35,0.37,-9.19,D+
10080,0.64,47.41,87.05,0.04,4.09,D+
10081,5.84,405.062,61.99,0.01,-30.35,D++
10082,1.67,109.48,42.23,0.17,-0.72,C--
10083,0.73,115.52,67.37,0.09,-0.72,D++
10084,14.03,36.89,7.1,10.34,10.59,C-
10085,0,1146.166,59.46,0,-7.18,D++
10086,2.32,131.61,70.45,0.275797709,-6.48,D+
10087,0.302,4.992,63.49,0.01,-26.52,D++
10088,0.506,389.566,57.362,0.371,-4.916,D++
10089,3.504372456,743.291585,66.94,0.35,-3.05,D++
10090,0.97,128.02,51.54,0.039,-2,D++
10091,3.524840927,759.6048752,41.26,0.28,-3.71,C--
10092,0.37,336.34,84.46,-0.04,-6.01,D+
10093,3.620083758,647.3912707,39.05,0.76,-10.39,C--
10094,3.568304051,829.608024,63.25,0.27,-3.94,D++
10095,4.5,151.87,73.92,0,-11.03,D+
10096,0.87,125.58,70.31,0.07,-1.38,D+
10097,3.68853553,771.1926902,2.75,16.44,-1.45,C
10098,3.560553839,746.1862831,40.43,0.89,-7.23,C--
10099,3.584607886,756.6712002,62.33,0.38,-20.67,D++
10100,0.329,2830.783,36.678,0.056,-1.598,C--
10101,1.71,78.15,56.02,0.248,1.67,D++
10102,0.553,5197.144,46.633,0.302,-2.733,C--
10103,19.74,139.57,34.13,42.53,-27.97,C--
10104,0.17,70.42,81.57,-0.01,0.76,D+
10105,3.540414511,710.5006969,90.94,0.78,-10.59,D
10106,0.391,290.146,41.697,0.082,-3.396,C--
10107,3.54134385,875.867249,62.03,0.28,-6.74,D++
10108,3.526398759,749.9985337,45.99,0.39,-1.64,C--
10109,0.006,152.143,15.42,0,-1.189,C-
10110,3.600854671,663.2248437,28.65,0.45,-4.79,C--
10111,0.396,1753.194,12.635,0.077,-4.151,C-
10112,0.26,434.24,69.55,0.37,-10.96,D+
10113,0.543,242.076,17.942,0.012,-1.255,C-
10114,3.531727531,747.3970041,45.12,0.37,-1.02,C--
10115,3.564096721,971.020601,46.52,0.07,-3.98,C--
10116,3.509030475,821.0379923,64.01,0.46,-3.54,D++
10117,3.606534167,886.9481706,54.56,-0.03,-1.7,D++
10118,0.417,138.729,41.793,-0.006,-0.459,C--
10119,0.91,48.25,76.59,0.14,2.93,D+
10120,7.3,61.9,88.71,0.260266843,54.09,D
10121,0.689,96.564,36.775,0.2,-0.48,C--
10122,0.8,142.16,69.99,0.07,-2.19,D+
10123,0,811.5300846,39.78,0.03,-6.05,C--
10124,3.570303727,728.8965665,74.64,0.45,-5.6,D+
10125,0.297,233.948,16.1,0.045,-2.602,C-
10126,3.608830024,767.2589023,62.83,0.266559864,7.579759174,D++
10127,3.574071484,738.4860089,78.56,0.5,-6.63,D+
10128,0.6,44.78,84.29,0.4,4.98,D+
10129,3.22,75.62,51.86,0.35,4.68,D++
10131,3.579192615,657.5520074,38.85,0.74,-4.06,C--
10132,5.6,118.39,54.72,0.83,-4.17,D++
10133,3.54292137,728.9947745,70.04,0.207878024,-0.461,D+
10134,1.285,24.709,65.92,0.136,3.094,D++
10135,0.483,83.817,33.183,0.041,-2.218,C--
10136,3.59,52.75,62.45,-0.26,14.99,D++
10137,3.604631451,676.1074146,37.37,0.11,-3.59,C--
10138,3.529554181,850.5771859,58.88,0.28,-2.29,D++
10139,3.503454806,882.6704643,71.23,0.255750108,6.581950388,D+
10140,3.564695215,679.1145112,36.53,0.3,-1.29,C--
10141,3.28,60.88,62.6,0.24,7.74,D++
10142,2.12,82.73,73.28,-0.1,3.51,D+
10143,0.13,704.23,77.9,0.01,-7.71,D+
10144,0.086,581.989,71.89,0.083,-72.86,D+
10145,3.570668928,852.9050594,59.26,0.1,-3.11,D++
10146,13.54,39.72,47.39,-0.02,63.21,D++
10147,2.18,64.4,59.38,0.19,9.08,D++
10148,3.515510986,797.4429258,54.21,0.21,-1.3,D++
10149,3.560716501,767.6446286,36.12,0.83,-1.42,C--
10150,3.2,54.21,41.09,0.263445814,10.83,C--
10151,2.877,21.027,23.273,0.009,12.435,C-
10152,0.56,259.51,87.93,0.18,-7.66,D+
10153,0.55,702.63,44.8,-0.03,-17.23,C--
10154,0.408,1388.803,43.058,0.149,-5.922,C--
10155,3.585889128,761.6465544,33.46,0.11,-0.88,C--
10156,3.516297068,756.0880759,47.13,0.25,-3.28,C--
10157,3.581261527,684.6116639,79.65,0.14,-2.76,D+
10158,3.89,37.27,57.11,0.34,9.64,D++
10159,3.588942879,674.6221507,79.04,0.5,-9.6,D+
10160,5.69,63.13,66.55,0.019,16.9,D++
10161,3.53238551,765.4460264,70.5,0.71,-4.16,D+
10162,3.599497469,910.8577696,69.27,1.08,-10.58,D+
10163,11.56,7.96,36.48,-0.07,96.82,C--
10164,5.19,121.06,41.32,-0.054,-5.66,C--
10165,0.58,291.72,80.98,0.03,-8.12,D+
10166,0.167,30926.175,19.429,0.295797778,-4.049,C-
10167,19.74,45.8,59.74,1.32,79.45,D++
10168,3.567420503,830.6373059,72.72,0.95,-6.36,D+
10169,1.12,149.47,72.31,0.298173457,-3.75,D+
10170,3.39,61.32,36.84,0.15,2.93,C--
10171,3.573235667,974.7471914,58.67,0.09,-2.53,D++
10172,1.51,106.39,68.27,0.05,-0.64,D+
10173,3.622662776,1062.158956,51.75,0.04,-1.34,D++
10174,0.02,5800,37.92,-0.01,-4.94,C--
10175,3.673871491,905.3336971,72.28,0.04,-3.01,D+
10176,0.13,1574.29,34.85,-0.06,-4.02,C--
10177,0.01,13740,75.93,-0.03,-6.98,D+
10178,2.87,110.14,70.99,0.21,-1.19,D+
10179,3.709248115,989.6874809,88.72,0.07,-3.91,D
10180,1.6,101.51,67.88,0.18,-0.24,D+
10181,3.500143777,814.5290611,52.4,0.42,-1.78,D++
10182,3.563263311,779.903112,85.68,0.22,-6.85,D+
10183,3.85,24.65,45.57,0.284501379,23.05,C--
10184,3.559876008,824.179833,54.84,1.34,-5.39,D++
10185,1.53,134.67,78.81,3.59,-2.52,D+
10186,3.548336695,1211.832365,57.84,0.07,-1.66,D++
10187,4.91,42.88,72.31,1.35,11.96,D+
10188,0.69,180,33.2,-0.04,-1.88,C--
10189,3.635874388,711.9850649,81.84,0.83,-10.13,D+
10190,0.92,36.97,60.7,0.09,2.08,D++
10191,15.88,789.0593756,77.14,0.229241062,-1.74,D+
10192,0,28761.454,70.15,-0.56,-11.26,D+
10193,0,53.837,56.71,0.26,-4.42,D++
10194,8.08,93.8,30.22,1.849,1.88,C--
10195,0.5,65.866,33.348,0.039,-0.269,C--
10196,3.568122638,602.3276346,80.67,0.326825791,6.651102103,D+
10197,2.13,83.76,56.47,0.21,1.73,D++
10198,4.21,49.45,69.41,0.260628092,28.22,D+
10199,1.83,18.79,68.88,0,17.29,D+
10200,2.48,82.53,75.37,0.16,2.89,D+
10201,3.526617734,900.8988538,38.11,1.23,-0.99,C--
10202,5.32,198.56,38.99,0.278513705,-21.51,C--
10203,3.564284799,750.7611183,64.28,0.2680101,7.401301955,D++
10204,0.96,102.64,32.01,0.293484476,-0.03,C--
10205,3.599443702,653.1927893,28.54,0.19,-2.36,C--
10206,28.2,45.98,52.57,6.05,63.79,D++
10207,3.505165354,819.3184527,61.96,0.29,-2.77,D++
10208,1.705,30.658,27.4,19.3,-5.28,C-
