id,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
10001,3.563439622,882.2710027,53.79,0.103,-2.59,C+
10002,3.528285958,711.4020401,44.52,0.527,-4.95,C+
10003,9.41,36.72,32.35,-0.314,7.54,C++
10004,1.34,120.68,63.33,1.15,-1.69,C
10005,6.18,61.63,81.15,1.47,15.6,C-
10006,3.566763556,870.1567184,64.51,0.658,-4.85,C
10007,3.582340415,695.9010427,31.5,0.958,0,C++
10008,1.91,113.95,77.14,1.2,-2.11,C-
10009,3.53297152,895.0559241,60.16,0.643,-6.37,C
10010,0,1380.007,74.26,0.11,-10.05,C
10011,0.99,156.91,56.98,0.2,-2.29,C
10012,10.6,17.78,72.28,0.91,70.67,C
10013,3.53300857,782.0457604,71.33,0.386,-4.06,C
10014,0.18,185.96,40.34,0.4,-0.51,C+
10015,0,62.186,39.03,0.08,-6.45,C+
10016,3.543006794,711.9743475,39.45,0.221,-0.9,C+
10017,1.66,30.86,43.47,0.04,3.52,C+
10018,3.635238891,658.8807938,34.86,0.248,-10.35,C++
10019,3.512007793,783.381466,66.51,0.313,-2.17,C
10020,0.98,276.76,49.64,0.05,-16.43,C+
10021,0.79,217.34,44.77,0.33,-3.17,C+
10022,2.99,97.22,54.18,0.67,0.51,C+
10023,6.69,91.95,58.18,7.91,2.33,C
10024,0.03,2196.43,63.69,0.07,-3.72,C
10025,0.05,2436.36,35.9,0,-3.03,C++
10026,0.53,215.28,62.52,0.01,-3.79,C
10027,3.602261401,735.270066,33.09,0.171,-2.12,C++
10028,3.549976733,706.0771027,23.32,0.696,-2.18,C++
10029,3.5785004,660.427512,37.57,0.194,-3.41,C+
10030,3.554243428,743.0932876,40.96,0.105,-1.81,C+
10031,3.544443771,750.9816142,54.73,0.188,-4.37,C+
10032,0.32,622.35,54.06,0.24,-10.26,C+
10033,0,176.702,21.96,0.142,-0.72,C++
10034,3.497813793,807.5754373,50.02,0.413,-2,C+
10035,3.547464743,880.4185802,59.87,0.244,-7.54,C
10036,3.67,55.9,59.31,1.18,9.99,C
10037,5.79,50.83,59.32,1.32,17.35,C
10038,3.611395051,662.4135819,34.48,0.802,-5.14,C++
10039,0.67,181.82,46.44,0.04,-2.11,C+
10040,0,241.574,68.61,0,-9.55,C
10041,3.627260206,708.542077,25.93,0.287899078,-8.35,C++
10042,3.582620185,657.6648573,35.03,0.167,-0.64,C++
10043,2.67,42.04,48.41,0.23,6.95,C+
10044,3.52120186,861.3687311,57.52,0.417,-6.07,C
10045,1.85,136.07,44.74,2.787,-22.88,C+
10046,3.78,25.79,89.28,-0.001,33.67,C-
10047,3.605336513,784.1184664,59.56,0.25121675,7.646298025,C
10048,7.53,27.99,86,1.83,48.05,C-
10049,2.27,65.64,54.3,0.26,4.77,C+
10050,2.85,53.69,72.13,0.32,5.56,C
10051,2.35,15.336,38.38,0.246,-1.16,C+
10052,2.55,46.48,53.34,0.55,6.41,C+
10053,3.525054743,681.7025736,45.22,0.125,-3.19,C+
10054,0.21,550,65.1,0.11,-6.6,C
10055,2.58,76.24,44.55,0.45,1.67,C+
10056,0.7,256.09,76.63,0.24,-9.14,C-
10057,3.537335268,778.1823341,62.98,0.155,-3.28,C
10058,3.506603793,818.357403,63.84,0.563,-3.32,C
10059,2.25,57.06,59.75,0.008,10.88,C
10060,1.89,56.45,46.46,0.06,4.25,C+
10061,0.5,103.44,14.94,0.017,-0.03,B--
10062,3.57591796,678.645983,38.64,0.366,-4.48,C+
10063,3.97,47.51,48.83,1.17,9.24,C+
10064,0,168.022,37.71,0.32331644,-3832.12,C+
10065,0.09,2058.44,57.08,0.33,-9.62,C
10066,3.562069551,822.3351298,60.21,0.161,-3.87,C
10067,3.564656808,860.1726747,0.21,0.213007531,8.791830879,B--
10068,2.97,68.43,64.8,0.68,6.2,C
10069,12.31,41.33,72.7,0.95,68.29,C
10070,5.29,25.68,79.99,-0.516,35.41,C-
10071,0.22,743.3,22.11,-0.01,-2.94,C++
10072,2.82,66.22,43.18,0.03,3.03,C+
10073,0,3.969,34.69,-0.02,-3.83,C++
10074,4.4,46.91,56.37,0.6,12.29,C
10075,4.65,55.36,67.29,0.06,17.52,C
10076,2.39,43.57,67.89,0.59,7.06,C
10077,3.537091251,761.0493432,52.37,0.251,-4.22,C+
10078,0.67,230.4,61.47,1.12,-6.45,C
10079,3.569582833,779.9717474,67.46,0.337,-7.06,C
10080,0.99,47.41,86.05,0.25,7.54,C-
10081,1.58,149.05,51.35,-0.02,-4.27,C+
10082,5.18,49.39,51.59,1.8,14.23,C+
10083,1.6,94.52,66.04,0.26,0.56,C
10084,6.912,109.648,28.04,2.22,5.624,C++
10085,1.03,116.1,48.36,1.09,-0.7,C+
10086,1.77,141.95,65.63,0.285931319,-5.73,C
10087,0.302,4.992,50.97,0.01,-6.395,C+
10088,2.53,138.95,77.09,2.57,-7.01,C-
10089,3.588744261,658.194729,36.46,0.424,-3.61,C+
10090,2.14,42.99,22.52,0.04,2.36,C++
10091,3.655255805,648.4339686,30.71,0.236,-6.32,C++
10092,0.06,100,41.02,0.003,0,C+
10093,3.604453761,676.4916371,38.73,0.904,-11.6,C+
10094,3.541765166,825.7557949,57.38,0.144,-3.1,C
10095,3.176,135.257,79.3,0.015,-10.216,C-
10096,0.6,184.96,61.78,0.6,-3.62,C
10097,3.321107615,2444.481839,2.4,3.339,-13.02,B--
10098,3.581061327,703.336702,41.65,0.776,-5.9,C+
10099,3.582591982,800.1041222,64.37,0.417,-63.15,C
10100,2.95,31.92,66.9,0.18,13.16,C
10101,7.44,109.34,45.31,0.248,-1.99,C+
10102,0.63,178.26,68.5,0.02,-3.35,C
10103,6.89,220.04,58.14,10.832,-37.7,C
10104,0.087,14.078,85.11,-0.004,0.585,C-
10105,3.522403787,762.3219222,75.54,0.73,-12.89,C-
10106,2.88,60.57,80.17,0.68,7.42,C-
10107,3.516811575,805.6904536,63.88,0.299,-14.72,C
10108,3.533199104,746.7968623,45.68,0.192,-1.68,C+
10109,0,152.143,36.97,0,-2.95,C+
10110,3.627354182,644.3030182,35.99,0.49,-9.21,C+
10111,0.04,12100,26.01,-0.04,-10.47,C++
10112,1.79,67.97,64.63,0.35,3.98,C
10113,0,242.076,35.42,-0.12,-7.67,C++
10114,3.499810953,811.7183397,48.97,0.382,-3.28,C+
10115,3.631207347,626.435096,31.74,0.137,-6.32,C++
10116,3.531639492,688.2218184,44.2,0.469,-4.7,C+
10117,3.499957889,821.2385989,49.06,0.255,-1.78,C+
10118,3.43,51.04,80.15,-0.04,10.49,C-
10119,2.36,64.42,60.01,0.33,4.19,C
10120,4.4,77.7,50.32,0.236987355,34.66,C+
10121,3.64,39.62,73.99,1.93,17.46,C
10122,4.54,20.91,49.98,0.33,9.69,C+
10123,0,827.6612406,10.16,-0.037,-2.798,B--
10124,3.5710436,767.6340499,63.27,0.492,-23.14,C
10125,1.42,170.07,37.07,0.33,-3.54,C+
10126,3.617890307,957.9240831,56.8,0.252150304,7.737122165,C
10127,3.562866552,800.967816,61.31,0.395,-11.11,C
10128,2.53,22.5,49.54,0.234,23.52,C+
10129,4.81,69.1,60.67,1.99,10.76,C
10131,3.586294717,740.6514649,47.75,0.451,-7.48,C+
10132,6.94,133.57,66.4,1.029,-22.56,C
10133,3.554112792,842.9354517,64.93,0.251822017,-0.461,C
10134,1.43,64.7,60.49,0.04,2.97,C
10135,1.49,200.17,40.94,0.15,-2.94,C+
10136,1.33,69.95,66.11,-0.165,3.68,C
10137,3.581278552,637.7146176,41.7,0.124,-4.37,C+
10138,3.499462882,859.3133531,63.95,0.332,-16.29,C
10139,3.5860868,750.8892926,65.76,0.275033146,7.375222002,C
10140,3.591045688,713.4020175,24.61,0.254,-2.49,C++
10141,1.4,133.61,58.16,0.104,-3.46,C
10142,12.8,37.13,59.7,1.02,140.88,C
10143,2.233,219.026,56.35,0.002,0.288,C
10144,0.27,472.95,62.23,0.18,-6.03,C
10145,3.55040683,831.2297158,58.31,0.361,-7.62,C
10146,11.63,36.93,54.71,-0.045,71.24,C+
10147,3.13,51.03,68.39,0.19,21.53,C
10148,3.527442186,747.0644523,44.91,0.194,-1.24,C+
10149,3.603503226,662.2700739,39.2,0.399,-8.27,C+
10150,6.47,40.16,44.82,0.143970766,53.31,C+
10151,14.97,18.5,33.08,0.009,25.77,C++
10152,0.41,392.59,87.95,0,-11.09,C-
10153,0,841.177,66.4,0.09,-9.71,C
10154,0.56,499.23,71.32,0.62,-6.59,C
10155,3.599991362,661.9324988,37.9,0.147,-1.5,C+
10156,3.474692652,928.7105414,45.18,0.259,-13.45,C+
10157,3.605930057,713.52524,80.06,0.095,-3.75,C-
10158,0.68,267.63,74.79,0.5,-7.18,C
10159,3.550101652,744.7038168,78.12,0.561,-14.53,C-
10160,4.26,71.88,57.25,0.019,6.02,C
10161,3.549564656,802.4577747,65.25,0.475,-5.94,C
10162,3.550127049,977.0793624,80.94,1.415,-28.78,C-
10163,17.08,24.83,46.39,-0.035,163.86,C+
10164,2.71,214.48,36.36,-5.49,-14.73,C+
10165,1.28,144.12,50.63,0.39,-2.82,C+
10166,1.45,160.76,38.56,0.289703099,-4.03,C+
