id,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
10001,3.53698433,722.1222551,68.12,0.11,-3.13,D+
10002,3.493984476,763.9490173,40.38,0.66,-2.91,D++
10003,2.75,59.25,51.45,0.06,2.58,D++
10004,2.02,50.92,59.94,0.26,6.43,D+
10005,5.79,58.05,75.65,0.05,16.68,D
10006,3.560168073,839.0104023,63.2,0.89,-6.63,D+
10007,3.533035353,5747.314578,40.47,4.49,-1.92,D++
10008,0.1,1521.51,81.24,0.54,-10.32,D
10009,3.534096724,745.5430163,74.21,0.55,-14.43,D+
10010,0.19,1203.23,63.11,0.13,-11.24,D+
10011,0.59,195.95,60.13,0.13,-2.86,D+
10012,2.19,75.52,82.56,0.07,4.64,D
10013,3.536298571,726.0004059,71.85,0.11,-3.73,D+
10014,0.11,426.32,40.58,0.38,-1.14,D++
10015,1.45,73.68,48.67,1.48,2.73,D++
10016,3.541943603,714.3138783,41.99,0.41,-1.63,D++
10017,0.385,51.347,48.71,2.45,0.488,D++
10018,3.486987308,729.4817812,43.77,0.31,-3.96,D++
10019,3.500359992,796.2268044,49.79,0.4,-1.9,D++
10020,1.17,255.5,30.61,0.58,-8.69,C--
10021,2.47,47.18,46.62,0.15,3.56,D++
10022,0.24,474.83,76.87,0.06,-7.99,D
10023,0.5,1175.79,54.55,2.09,-21.39,D++
10024,0.89,51.12,84.89,0.03,4.16,D
10025,0.747,280.937,26.448,0.14,0.618,C--
10026,0.103,2085.442,37.337,0.008,-4.364,D++
10027,3.50372806,851.6305391,60.69,0.35,-3.65,D+
10028,3.607341424,1034.615741,24.26,-1.52,-4.28,C--
10029,3.493255463,771.9712173,52.21,0.18,-2.78,D++
10030,3.626790344,1010.984788,48.35,0.04,-1.14,D++
10031,3.574212251,980.5128239,46.95,0.07,-1.27,D++
10032,1.88,104.44,45.49,0.23,-0.37,D++
10033,1.47,183.48,33.73,0.142,-8.44,C--
10034,3.620996034,872.4247978,54.73,-0.07,-2.21,D++
10035,3.500701423,817.2042138,56.73,0.22,-3.75,D+
10036,1.44,85.25,61.47,0.39,1.39,D+
10037,0.73,161.48,60.45,-0.09,-2.34,D+
10038,3.517453833,762.6933304,63.11,2.12,-19.27,D+
10039,12.22,66.31,46.68,0.014,39.15,D++
10040,0.73,228.23,73.14,0.12,-6.59,D+
10041,3.653956935,919.2164407,22.61,0.272606292,-1.017,C--
10042,3.537237257,3834.548628,21.49,0.39,-0.75,C--
10043,0.55,163.5,38.77,0,-1.57,D++
10044,3.548341385,780.1444885,63.2,0.54,-7.36,D+
10045,1.85,136.07,38.58,3.01,-34.39,D++
10046,3.14,25.87,86.44,-0.001,29.06,D
10047,3.57077416,791.4406761,55.01,0.252224835,7.5375156,D+
10048,0.73,368.75,45.53,0.06,-8.28,D++
10049,0.89,96.69,56.9,0.08,0.21,D+
10050,0.15,411.52,76.62,0,-2.43,D
