id,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
10001,3.531638526,725.2062879,71.77,0.13,-3.08,C-
10002,3.509289582,726.3607525,44.43,0.57,-2.83,C
10003,2.79,40.02,47.5,0.53,3.93,C
10004,0.84,239.25,63.82,0.06,-6.82,C
10005,5.17,56.14,76.27,0.04,16.37,C-
10006,3.591869898,820.2170447,65.5,0.98,-7.35,C-
10007,3.565670079,727.0703201,41.34,0,-5.02,C+
10008,0.5,261.7,78.52,0.03,-5.33,C-
10009,3.634702575,731.6860002,79.54,0.83,-7.48,C-
10010,0.65,191.29,76.54,-0.18,-4.78,C-
10011,0.25,413.86,56.26,0.3,-3.49,C
10012,2.19,61.54,75.09,0.67,6.69,C-
10013,3.581497275,848.5510493,77.66,0.98,-4.13,C-
10014,0.08,386.46,40.81,0.29,-0.79,C+
10015,0,62.186,40.87,0.03,-5.13,C+
10016,3.52489117,778.3154438,40.9,0.39,-1.34,C+
10017,0.75,59.27,42.33,0,0.94,C+
10018,3.518973797,722.4795877,45.66,0.23,-3.76,C
10019,3.502653805,804.4665648,50.66,0.32,-1.75,C
10020,1.15,272.52,35.58,0.28,-8.94,C+
10021,2.08,52.37,50.71,0.13,2.88,C
10022,0.7,186.64,79.04,0,-5.46,C-
10023,0.53,1098.63,50.89,-0.71,-19,C
10024,0.37,66.34,70.19,0,0.85,C-
10025,0.71,180.87,51.8,0.06,-2.1,C
10026,0.19,713.36,75.74,0,-9.63,C-
10027,3.514205126,828.1651706,63.46,0.42,-3.81,C
10028,3.578191527,1894.103387,17.54,7.95,-11.59,C++
10029,3.500567097,819.2993255,56.29,0.21,-2.46,C
10030,3.622662776,1062.158956,51.51,0.04,-1.39,C
10031,3.554819995,810.0171163,44.41,0.08,-1.62,C
10032,0.03,7171.43,52.83,0.82,-10.24,C
10033,1,249.36,36.66,0.38,-7.22,C+
10034,3.515270978,758.606808,46.09,0.38,-1.65,C
10035,3.478642788,804.9061875,53.1,0.32,-3.4,C
10036,0.75,150.48,66.86,0.31,-2.45,C-
10037,0.81,124.31,62.81,0.08,-1.06,C
10038,3.535089675,1003.174891,59.73,1.18,-17.08,C
