id,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
10001,3.525052019,804.9679731,63.81,0.19,-3.39,D+
10002,3.55346541,738.3956052,40.81,0.96,-4.17,C--
10003,6.51,62.14,34.41,-0.91,3.75,C--
10004,0.25,380,68.75,0.63,-4.93,D+
10005,6.24,58.9,80.95,0.04,18.37,D+
10006,3.574098001,817.0131071,66.08,0.87,-5.29,D+
10007,3.559672963,725.2494048,29.26,1.92,-0.74,C--
10008,0.31,572.18,78.31,1.65,-11.29,D+
10009,3.530504121,814.0168601,69.93,0.46,-6.47,D+
10010,0,1380.007,58.08,-0.07,-6.11,D++
10011,0.09,1412.59,51.66,0.03,-5.13,D++
10012,5.55,39.96,60.57,0.65,21.78,D++
10013,3.539856948,777.4822434,62.23,0.17,-3.39,D+
10014,0.15,217.47,45.96,0.43,-0.62,D++
10015,0.49,190.57,42.26,0.01,-3.03,D++
10016,3.57247643,676.2045495,42.42,0.11,-0.39,D++
10017,0.385,51.347,60.2,1.64,0.488,D++
10018,3.595168985,669.2665632,35.21,0.54,-4.17,C--
10019,3.503982712,868.5655385,58.53,0.37,-2.9,D++
10020,0.82,290.35,44.08,0.2,-12.26,D++
10021,1.56,78.52,40.44,0.26,1.03,C--
10022,1.31,163.86,60.72,0.4,-5.73,D++
10023,1.35,367.16,58.96,2.04,-15.67,D++
10024,1.94,25.21,77.6,0.15,17.65,D+
10025,0.747,280.937,26.448,0.14,0.618,C--
10026,0.103,2085.442,37.337,0.008,-4.364,C--
10027,3.567972463,667.8509399,42.11,0.14,-1.96,D++
10028,3.600399479,659.2949148,21.89,-0.01,-2.05,C--
10029,3.51769843,713.5070862,44,0.31,-3.64,D++
10030,3.607451221,692.2583656,35.21,0.09,-1.03,C--
10031,3.488646847,1022.005355,49.3,0.83,-1.95,D++
10032,0.21,1062.75,48.98,-0.62,-9.37,D++
10033,1.75,150.38,26.33,0.142,-2.57,C--
