id,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
20397,3.478489387,837.5793441,50.47,0.48,-3.82,C
20398,0.93,180.16,71.99,0.29,-4.26,C-
20399,0,963.333,41.84,0,-1.35,C
20400,2.53,53.87,71.3,0.94,8.91,C-
20401,0.29,371.93,56,0.06,-3.46,C
20402,8.264,82.585,49.654,0.869,8.775,C
20403,3.530570693,842.7691982,59.31,0.37,-5.18,C
20404,3.515852812,812.5187344,64.9,0.4,-3.58,C-
20405,3.606648431,723.6923229,20.375,0.401,-2.214,C+
20406,1.199,13241.359,59.295,0.162,-1.909,C-
20407,3.574310698,725.8635875,34.54,2.42,-2.67,C+
20408,0.32,306.73,69.36,0.05,-4.28,C-
20409,3.486639117,797.6620015,53.06,0.49,-2.99,C
20410,0.26,398.1,69.31,0.05,-6.46,C-
20411,3.547701892,705.3165728,51.555,2.748,-22.578,C
20412,3.565859881,728.7853245,33.18,0.61,-1.24,C+
20413,0.62,125.23,51.93,0.08,-0.45,C
20414,5.44,41.88,56.76,0.75,17.86,C
20415,11.91,28.32,57,0.26,122.82,C-
20416,0.47,210.63,81.52,-0.03,-3.87,C--
20417,3.589226471,734.444843,42.567,0.347,-7.895,C
20418,2.31,61.71,54.96,0.1,5.73,C
20419,0,49.562,32.39,0.52,-5.37,C+
20420,0.49,254.9,74.11,0.11,-5.11,C-
20421,1.49,71.94,57.2,0.59,2.06,C
20422,3.535598921,662.0415465,4.05,0,-1.33,C++
20423,0.82,168.94,66.71,-0.02,-2.17,C-
20424,1.19,180.16,56.74,0.30021948,-5.04,C
20425,3.633786007,846.2954922,46.344,-0.022304673,8.125456556,C
20426,0.08,713.87,94.05,0.59,-11.43,C--
20427,3.622688683,756.5199698,19.11,0.05,-3.55,C++
20428,0.29,507.48,50.05,0.1,-2.3,C
