id,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
10001,3.554347331,845.2042972,58.871,0.103,-2.872,C
10002,3.547106891,673.3121409,37.5,0.527,-3.065,C+
10003,5.333,39.913,36.856,-0.314,5.872,C+
10004,1.22,165.38,63.57,0.11,-4.45,C
10005,4.593,48.031,62.827,0.297,12.843,C
10006,3.533459017,769.3430888,53.357,0.658,-4.947,C
10007,3.575533073,699.4044498,28.151,0.958,-1.898,C++
10008,0,502.966,86.38,0.1,-8.08,C-
10009,3.576907952,783.4528994,62.017,0.643,-7.675,C
10010,3.17,39.87,69.87,0,10.65,C-
10011,0.34,284.15,62.58,0.13,-3.14,C
10012,1.46,88.79,69.81,0.17,1.16,C
10013,3.513509489,821.8834689,62.949,0.386,-3.253,C
10014,0.07,592.55,36.84,0.18,-1.23,C+
10015,0,62.186,40.29,0,-5.13,C+
10016,3.543985739,708.7510766,39.322,0.221,-0.838,C+
10017,0.7,59.2,43.89,0.01,0.9,C+
10018,3.591395503,664.0305549,37.481,0.248,-4.56,C+
10019,3.502472283,801.5940062,50.76,0.313,-1.996,C
10020,1.14,332.95,40.36,0.49,-13.99,C+
10021,1.56,69.42,51.77,0.14,1.44,C
10022,0.18,606.46,82.18,0.17,-8.88,C-
10023,0,422.543,50.43,1.32,-19.48,C
10024,0.13,283.33,74.37,0,-1.89,C-
10025,2.9,41.71,59.28,0.01,7.22,C
10026,0.14,930.2,80.57,0,-10.19,C-
10027,3.53791512,715.2032326,47.476,0.171,-2.927,C+
10028,3.607603025,752.3516741,17.969,0.696,-5.192,C++
10029,3.51811108,710.5572801,43.476,0.194,-2.553,C+
10030,3.598819379,683.3625426,36.585,0.105,-1.184,C+
10031,3.515556158,732.4517579,44.641,0.188,-2.09,C+
10032,0.04,4115.38,58.45,0.12,-10.23,C
10033,1.09,218.13,43.98,0.14,-8.25,C+
10034,3.488473748,816.7290867,49.281,0.413,-2.666,C+
10035,3.520408402,775.9772384,49.141,0.244,-4.721,C+
10036,0.42,315.25,67.1,-0.13,-6.34,C
10037,0.68,118.51,62.88,0.01,-0.58,C
10038,3.582417106,737.3550325,49.093,0.802,-9.1,C+
10039,0.11,935.95,68.09,0,-5.33,C
10040,1.05,155.39,78.48,0,-4,C-
10041,3.635644428,873.8495819,24.694,0.269762609,-1.017,C++
10042,3.585651666,671.1058719,22.984,0.167,-0.489,C++
10043,0.3,123,60.23,0.1,-0.51,C
10044,3.533319051,777.9203802,54.58,0.417,-5.16,C
10045,2.65,287.04,40.36,4.35,-23,C+
10046,2.18,30.01,82.42,-0.001,18.88,C-
10047,3.661872699,845.0547485,44.833,-0.03241194,8.032976733,C+
10048,1.75,47.53,90.39,1.13,9,C--
10049,0.66,165.08,59.34,0.08,-3.13,C
10050,0.05,1163.57,86.08,0.03,-3.49,C-
10051,5.11,15.336,68.52,0.246,-3.46,C
10052,2.5,64.18,43.83,0.11,2.86,C+
10053,3.590819526,659.1335374,37.364,0.125,-1.802,C+
10054,3.79,22.32,81.51,0.07,25.5,C-
10055,1.27,140.19,63.31,0.69,-1.72,C
10056,0.52,288.08,82.34,0.07,-7.01,C-
10057,3.506390322,753.4254402,55.075,0.155,-3.099,C
10058,3.534739151,783.5008507,51.668,0.563,-5.259,C
10059,1.14,58.37,68.72,0.008,4.52,C
10060,0.59,156.55,61.22,0.2,-1.78,C
10061,0.13,100,7.16,-0.01,0,B--
10062,3.577549787,656.6720549,36.32,0.366,-3.172,C+
10063,1.67,57.43,47.7,0.09,3.04,C+
10064,0,168.022,34.72,0.009593335,82.04,C+
10065,0.01,10240,62.89,0.21,-7.41,C
10066,3.516402181,833.3113875,57.315,0.161,-3.242,C
10067,3.552418182,891.1049936,22.47,0.176561248,10.30545677,C++
10068,3.7,41.33,76.56,0.43,12.55,C-
10069,8.2,86.5,79.67,1.58,12.01,C-
10070,8.093,39.913,66.835,-0.516,38.196,C
10071,1.39,124.37,16,0.14,-0.54,C++
10072,0.07,1462.96,69.66,0,-5.09,C
10073,0,3.969,37.33,0,-4.93,C+
10074,0.61,173.98,67.07,-0.01,-2.33,C
10075,3.595,52.432,62.897,0.049,14.506,C
10076,0.44,235.35,78.73,-0.01,-3.64,C-
10077,3.512355748,731.3645927,44.482,0.251,-2.855,C+
10078,4.09,55.05,41.21,-0.62,7.26,C+
10079,3.54471965,772.5298217,65.465,0.337,-8.126,C
10080,0.44,37.17,86.75,0.12,3.6,C-
10081,0.07,1577.78,75.79,0.04,-9.09,C-
10082,0.56,219.35,41.7,0.07,-3.01,C+
10083,0.35,234.37,70.2,0.01,-3.05,C-
10084,0.49,346.23,14.37,2.22,-2.4,C++
10085,0,1146.166,60.14,0.12,-6.4,C
10086,1.47,153.09,68.91,0.283353729,-5.85,C
10087,0.302,4.992,55.556,0.01,-6.395,C
10088,0.08,1241,78.45,0.02,-5.79,C-
10089,3.491108258,836.4448766,56.369,0.424,-3.756,C
10090,1.41,88.25,67.23,0.24,1.94,C
10091,3.591759283,643.8817069,37.948,0.236,-4.522,C+
10092,0.15,8.15,58.03,-0.02,1.27,C
10093,3.701592021,716.8081075,32.679,0.904,-9.383,C+
10094,3.526134723,739.0366363,53.959,0.144,-2.924,C
10095,3.97,156.63,71.09,0.03,-11.39,C-
10096,0.74,127.69,74.56,0.06,-1.26,C-
10097,3.540485035,1166.710119,1.954,3.339,-3.814,B--
10098,3.588311328,652.471485,35.672,0.776,-5.792,C+
10099,3.562801291,870.3083388,57.09,0.417,-24.541,C
10100,0,2830.783,76.23,0.02,-8.06,C-
10101,1.5,86.87,56.58,0.248,0.82,C
10102,0.31,401.47,66.08,0.17,-5.3,C
10103,9.36,202.98,57.56,10.832,-24.09,C
10104,0.087,14.078,74.39,-0.004,0.585,C-
10105,3.575777145,676.738628,73.262,0.73,-9.792,C-
