id,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
10001,3.48704388,813.6286787,57.01,0.22,-2.78,D++
10002,3.570967186,665.88084,39.98,0.74,-5.66,D++
10003,8.61,43.11,36.77,-0.93,7.34,C--
10004,1.69,66.25,69.35,0.27,3.86,D+
10005,5.63,68.06,78.96,1.23,10.67,D
10006,3.564880714,801.7419066,62.73,0.82,-5.59,D+
10007,3.564369573,628.0936988,31.52,0,-1.04,C--
10008,1.76,121.95,76.86,0.9,-3.03,D+
10009,3.506227036,750.2990839,69.25,0.31,-2.18,D+
10010,0.03,4092.31,52.05,0.17,-5.6,D++
10011,0.31,410.25,51.31,0.28,-3.96,D++
10012,9,27.26,71.17,0.65,51.22,D+
10013,3.495777749,812.0753552,62.45,0.71,-3.3,D+
10014,0.18,228.97,41.34,0.42,-0.75,D++
10015,0.68,153.23,35.06,0.43,-2.09,C--
10016,3.540097891,789.5138254,40.27,0.09,-0.32,D++
10017,0.385,51.347,55.05,1.21,0.488,D++
10018,3.637036131,728.7944546,31.58,0.28,-8.37,C--
10019,3.535661111,806.9471159,63.72,0.36,-2.29,D+
10020,0.84,285.58,46.67,0.21,-14.33,D++
10021,2.07,54.61,50.9,0.18,3.29,D++
10022,0.68,382.81,55.28,0.17,-11.72,D++
10023,2.76,168.9,58.01,4.23,-7.68,D+
10024,2.45,20.48,87.22,0.32,22.32,D
10025,0.747,280.937,26.448,0.14,0.618,C--
10026,0.103,2085.442,37.337,0.008,-4.364,C--
10027,3.604144095,654.9133777,34.76,0.14,-2.23,C--
10028,3.574579931,688.6926642,21.98,0.03,-1.99,C--
10029,3.510322241,712.7940664,43.54,0.44,-3.03,D++
10030,3.571143858,665.8996576,36.46,0.18,-1.28,C--
10031,3.543524887,797.6106858,54.42,0.46,-6.01,D++
10032,0.09,2020.83,55.77,-0.09,-8.61,D++
10033,0,176.702,25.62,0.142,-2.38,C--
10034,3.543061821,780.3010049,48.77,0.12,-1.73,D++
10035,3.572287239,779.8020813,59.46,0.71,-9.03,D+
10036,3.09,57.11,64.97,1.71,8.62,D+
10037,4.86,55.7,58.83,0.81,12.7,D+
10038,3.590837306,703.7058148,36.93,0.87,-5.86,C--
10039,7.587,278.711,46.772,0.014,27.307,D++
10040,0,241.574,61.25,0.02,-9.5,D+
10041,3.574976204,815.9533155,36.4,0.265191995,-1.82,C--
10042,3.59627632,689.3335706,27.67,0.14,-0.77,C--
10043,1.52,80.16,39.09,0.15,1.38,D++
