id,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
10001,3.591995909,700.9369114,75.17,0.1,-3.17,C--
10002,3.508526357,719.4301358,44.87,0.71,-2.82,C
10003,6.72,23.87,45.03,-0.15,11.79,C-
10004,1.27,138.3,62.89,0.2,-2.64,C-
10005,4.12,62.85,77.57,0.01,11.91,C--
10006,3.684044674,897.7839395,81.1,1.06,-8.66,C--
10007,3.612376992,653.7822702,26.64,0,-4.14,C
10008,0.18,579.8,86.64,-0.08,-6.27,D++
10009,3.561777077,960.5398725,69.49,1.11,-6.59,C--
10010,1.17,108.44,79.78,0,-0.6,C--
10011,0.26,413.81,63.22,0.08,-4.07,C-
10012,1.43,73.33,80.49,0.07,2.63,C--
10013,3.744945538,725.7009714,84.13,-0.1,-4.19,C--
10014,0.07,594.78,42.38,0.16,-1.44,C
10015,0,62.186,42.94,-0.03,-4.74,C
10016,3.566115251,692.6604969,38.94,0.14,-0.46,C
10017,0.57,72.73,44.37,0.01,0.51,C
10018,3.524753716,841.6786162,57.94,0.16,-3.28,C-
10019,3.51468307,807.6374365,55.46,0.18,-1.28,C-
10020,1.37,261.86,42.07,0.8,-12.2,C
10021,0.07,1658.23,58.41,0.14,-3.46,C-
10022,0.02,5317.24,82.67,0.14,-10.93,C--
10023,1.353,422.543,46.51,4.38,-17.38,C-
10024,0.04,879.39,76.9,0.02,-2.19,C--
10025,1.39,90.09,66.6,1.18,0.6,C--
10026,0.16,712.25,84.19,0.14,-8.72,C--
10027,3.537494391,764.7342018,68.67,0.24,-4.02,C--
10028,3.355462144,4178.506036,12.79,-0.76,-13.46,C+
10029,3.529515987,831.090817,57.82,0.15,-2.11,C-
10030,3.547448247,703.7615897,44.89,0.14,-1.6,C
10031,3.598931784,1385.759125,47.81,0.05,-1.65,C-
10032,0.54,390.48,58.44,0.12,-8.93,C-
10033,0.83,305.47,47.5,0.43,-12.39,C-
10034,3.507933818,932.6617173,59.88,2.59,-1.3,C-
10035,3.499507907,800.6961823,51.64,0.28,-2.52,C-
10036,1.68,74.62,65.1,0.24,2.43,C--
10037,0.39,181.56,66.19,0.01,-1.44,C--
10038,3.576775343,899.4110939,69.13,1,-8.64,C--
10039,0.34,264.21,64.22,0.03,-3.49,C-
10040,1.19,158.87,69.33,0.03,-3.9,C--
10041,3.624885236,1965.83068,12.11,0.273624874,-1.017,C+
10042,3.586662248,673.9995548,29.17,0.19,-0.43,C
10043,0.42,76.68,64.92,-0.01,0.71,C-
10044,3.501185927,746.5754504,70.79,0.23,-3.64,C--
10045,3.45,224.07,40.63,2.95,-19.92,C
10046,1.92,30.19,78.2,-0.01,16.01,C--
10047,3.579124765,821.5848442,55.91,0.251040473,7.43262425,C-
10048,0,1386.362,80.68,0.17,-9.15,C--
10049,0.64,180.45,59.16,0.01,-3.14,C-
10050,0,23895.16,86.9,0,-3.33,C--
10051,5.42,15.336,69.83,0.246,-2.06,C--
10052,10.62,21.84,39.34,0.32,22.54,C
10053,3.577406411,765.2982155,40.89,0.02,-1.42,C
10054,1.52,45.62,77.73,0.62,6.5,C--
10055,3.12,63.88,63.33,0.31,4.11,C-
10056,0.48,325.81,77.15,0.06,-6.88,C--
10057,3.545010962,781.632536,72.87,0.45,-4.7,C--
10058,3.605186177,894.8719186,60.56,0,-4.47,C-
10059,1,71.64,69.2,0.008,2.96,C--
10060,0.74,147.62,57.6,0,-1.62,C-
10061,0.12,81.82,8.46,-0.01,0.03,C+
10062,3.524742225,747.4713062,53.82,0.54,-4.05,C-
10063,0.82,128.16,48.13,0.06,-0.88,C-
10064,0,168.022,30.12,0.282536591,-386.92,C+
